,yiaF
Cr_1,0.0008551145934843316
Cr_2,-0.001574887215484454
Cr_3,0.0014789383316945231
Cr_4,0.01399956170463599
Cr_5,0.0321415748408364
Cr_6,0.04470369679487398
Fe_1,-0.0404703167527162
Fe_2,-0.09275964582542193
Fe_3,-0.13509937951467896
Fe_4,-0.1692971673490589
Fe_5,-0.20447019961959945
Fe_6,-0.23561249113031504
Cd_1,-0.0006014915597701717
Cd_2,-0.0005562631777068254
Cd_3,0.005013546158965297
Cd_4,0.010758024803621436
Cd_5,0.018560296842775898
Cd_6,0.030055011534414464
Zn_1,-0.010219946269420329
Zn_2,-0.021434932012166945
Zn_3,-0.018056921644724763
Zn_4,-0.00554646048342392
Zn_5,0.011811429609105957
Zn_6,0.02630711045715349
Cu_1,0.005862782519272077
Cu_2,0.009469310212082678
Cu_3,0.01311938214481476
Cu_4,0.026261945820085904
Cu_5,0.04657708355759007
Cu_6,0.06623600103249844
Pb_1,-0.003276734112779376
Pb_2,-0.0017848312040102746
Pb_3,-0.00020319718021370947
Pb_4,-5.551829966321536e-05
Pb_5,-0.006041054612374685
Pb_6,-0.0025095340265525205
