,cls
Cr_1,0.002756225278897991
Cr_2,0.005952235834357806
Cr_3,0.008756918734589836
Cr_4,0.007626229798427803
Cr_5,0.004697447892489063
Cr_6,0.0019822351485200584
Fe_1,-0.010447262962304173
Fe_2,-0.028212959173215094
Fe_3,-0.038109057364312304
Fe_4,-0.04401240048191496
Fe_5,-0.044152042931726
Fe_6,-0.04438710859284221
Cd_1,-0.002611323355583627
Cd_2,-0.002693344819895584
Cd_3,-7.244962273193798e-05
Cd_4,0.0029673781201889323
Cd_5,0.0006309291045857915
Cd_6,0.0058127829762084715
Zn_1,-0.01211865985557288
Zn_2,-0.0004790019728524833
Zn_3,0.05476366434674795
Zn_4,0.1345687093598759
Zn_5,0.21498544222796892
Zn_6,0.2881850610823627
Cu_1,0.00429607327472414
Cu_2,0.012171443998292224
Cu_3,0.02395172660148445
Cu_4,0.03645628037508823
Cu_5,0.053084679160726664
Cu_6,0.07054858198490771
Pb_1,-0.00788161054798422
Pb_2,-0.011004166384346696
Pb_3,-0.007040281795643736
Pb_4,0.000631590646910135
Pb_5,0.009550960333346138
Pb_6,0.02263171085086204
