,argU
Cr_1,0.0053863751380967256
Cr_2,0.008182144814406303
Cr_3,0.011264895905247941
Cr_4,0.013779069947634344
Cr_5,0.018189093591850832
Cr_6,0.02252834798473436
Fe_1,-0.01690728981243175
Fe_2,-0.03571383665692021
Fe_3,-0.04167771740074497
Fe_4,-0.04068449403876507
Fe_5,-0.03461718780408697
Fe_6,-0.04549773562449578
Cd_1,0.0007510623783201437
Cd_2,0.004596669524565082
Cd_3,0.010743425438561528
Cd_4,0.012563246791148126
Cd_5,0.013558011862712896
Cd_6,0.015896500570730217
Zn_1,-0.0031018261947651465
Zn_2,-0.0016196587727834093
Zn_3,0.010167610116829285
Zn_4,0.02670336746504352
Zn_5,0.040366188377196764
Zn_6,0.04321799210897938
Cu_1,0.0030757945092073835
Cu_2,0.006149678562701674
Cu_3,0.014063180895413658
Cu_4,0.023163903066334486
Cu_5,0.03685196747179762
Cu_6,0.04124688731180446
Pb_1,0.0049014899444721465
Pb_2,0.005401818615799905
Pb_3,0.006526907851368888
Pb_4,0.01428819843133423
Pb_5,0.01435614337243459
Pb_6,0.02296273391261337
