,-0.18399473176458475,-0.1471957854116678,-0.11039683905875086,-0.07359789270583392,-0.03679894635291697,-2.7755575615628914e-17,0.03679894635291692,0.07359789270583389,0.1103968390587508,0.14719578541166772,0.1839947317645847,0.22079367811750167,0.2575926244704186,0.2943915708233355,0.33119051717625253,0.36798946352916945,0.40478840988208636,0.4415873562350033,0.4783863025879202,0.5151852489408373
thresh,-0.2023942049410432,0.2023942049410432,9,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,92,3405,81,0,0,0,0,0,0,0,0,0,0,0,0,0
Cra,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN,0,0,0,0,3,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,0,21,413,32,1,0,0,0,0,0,0,0,0,0,0,0,0
Cra and RpoN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cra and Crp,0,0,1,0,1,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN and Crp,0,0,0,0,1,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp and PrpR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cra, RpoN, Crp, and PrpR",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Cra_genes,[],[],[],[],['tpiA'],"['gpmM' 'fruK' 'zwf' 'betB' 'eda' 'cydA' 'setA' 'envC' 'fruB' 'yibQ'
 'fruA' 'sgrT' 'edd' 'icd' 'betA' 'betI' 'poxB' 'ppc' 'adhE' 'eno' 'yeaD'
 'glk' 'pfkA' 'fbaB' 'pykF' 'betT' 'aroP' 'cydB' 'ppsA' 'pdeL']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoN_genes,[],[],[],[],['nikA' 'pspG' 'pspB'],"['pspD' 'nac' 'rutE' 'hycF' 'hycH' 'rutF' 'nikB' 'gnsA' 'zraP' 'hycC'
 'hycG' 'acrD' 'hypC' 'rutD' 'pspA' 'hycB' 'hycD' 'xdhC' 'ddpF' 'pspE'
 'yeaG' 'ygfK' 'hycI' 'dcuD' 'rutA' 'emrD' 'hycA' 'nikR' 'rutB' 'yeaH'
 'glnK' 'ssnA' 'yhjC' 'potF' 'radD' 'rutC' 'gltI' 'rutG' 'yaaU' 'nikC'
 'ddpX' 'htpG' 'potH' 'amtB' 'ddpB' 'pspC' 'aslB' 'ddpD' 'norW' 'hycE'
 'chaC' 'hisP' 'gltJ' 'potG' 'rtcA' 'potI' 'glnP' 'patA' 'yhdY' 'ddpC'
 'astC' 'yhdZ' 'glnQ' 'gltK' 'fdhF' 'nikE' 'puuP' 'hypB' 'gltL' 'hydN'
 'rtcR' 'ymjE' 'norV' 'ibpB' 'xapB' 'xdhA' 'rtcB' 'fhlA' 'hisM' 'astB'
 'yhdX' 'yahE' 'xdhB' 'glnH' 'hypD' 'hisJ' 'hisQ' 'hypE' 'astA' 'ddpA']",['nikD' 'astD' 'hypA' 'yhdW' 'astE' 'argT' 'atoB' 'atoD' 'atoA' 'atoE'],[],[],[],[],[],[],[],[],[],[],[],[],[]
