,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A
0,LB__LBexp,-2.563271518366667,0.8774426043689065,3.0,0.0,-1.8001711999999999,1.0,-2.3676181155,2.0,-3.5220252396,,,,,,,,,,
1,LB__LBtran,-1.8681279672666664,2.353923996919989,3.0,3.0,0.0993141879,4.0,-1.2277072075,5.0,-4.4759908822,,,,,,,,,,
2,LB__LBstat,-3.590015907433333,1.9538977499539303,3.0,6.0,-2.0883201197,7.0,-2.8826461433,8.0,-5.7990814593,,,,,,,,,,
3,LB__LBGexp,-1.1751802710666666,3.0276434493638518,3.0,9.0,-4.386112535,10.0,1.627808451,11.0,-0.7672367292000001,,,,,,,,,,
4,LB__LBGtran,-6.62596602255,1.9077342612757622,2.0,12.0,-7.9749378554,13.0,-5.2769941897,,,,,,,,,,,,
5,LB__LBGstat,-4.377183333266667,5.540707649830349,3.0,14.0,1.7969315524,15.0,-6.0117703651,16.0,-8.9167111871,,,,,,,,,,
6,Life Cycle__S0,-0.31569173440000003,1.4513123453740113,3.0,17.0,-1.1367035788,18.0,-1.1703981214,19.0,1.360026497,,,,,,,,,,
7,Life Cycle__S1,0.7981614942333333,1.014785154013769,3.0,20.0,0.5851278613,21.0,1.9025517557,22.0,-0.09319513430000001,,,,,,,,,,
8,Life Cycle__S2,1.2444234239666667,1.8290963838651302,3.0,23.0,0.9698875996,24.0,-0.4318869341,25.0,3.1952696064,,,,,,,,,,
9,Life Cycle__S3,-2.2558075459,1.1115123642021052,2.0,26.0,-1.4698496158,27.0,-3.041765476,,,,,,,,,,,,
10,Life Cycle__S4,1.8993665078000002,4.910056115400729,3.0,28.0,-2.7004906621,29.0,1.3288183782,30.0,7.0697718073,,,,,,,,,,
11,Life Cycle__S5,-1.7359020940333334,1.8623657698407017,3.0,31.0,-1.632345961,32.0,-3.6478853525,33.0,0.07252503140000001,,,,,,,,,,
12,Life Cycle__S6,0.7983523573375,3.0662592279528855,8.0,34.0,0.2713243117,35.0,0.4763177448,36.0,-0.6261636179,37.0,-2.2431640933,38.0,-3.636965119,39.0,2.7002342412,40.0,4.5448904762,41.0,4.900344915
13,Life Cycle__S7,0.6534057463333335,3.9046737621993057,3.0,42.0,4.2157208335,43.0,1.2657624818,44.0,-3.5212660763,,,,,,,,,,
14,Life Cycle__S8,-3.0997350302999997,2.437639400668206,2.0,45.0,-1.3760636800000001,46.0,-4.8234063806,,,,,,,,,,,,
15,Life Cycle__G135,-19.958445863599998,0.013831273805052573,2.0,47.0,-19.9682260511,48.0,-19.9486656761,,,,,,,,,,,,
16,Life Cycle__G150,-17.438461438633336,5.012152411153495,3.0,49.0,-17.6695015,50.0,-12.3147843457,51.0,-22.3310984702,,,,,,,,,,
17,Life Cycle__G180,-6.293112548666667,0.48332162208838697,3.0,52.0,-6.8510874433,53.0,-6.0240146462,54.0,-6.0042355565,,,,,,,,,,
18,Stress Time Course__C30,-9.5174080844,1.1579098693214123,2.0,55.0,-10.336174005,56.0,-8.6986421638,,,,,,,,,,,,
19,Stress Time Course__C90,-3.2812180264500004,1.7133354715069287,2.0,57.0,-4.4927291568,58.0,-2.0697068961,,,,,,,,,,,,
20,Biofilm__BI,-2.49598676125,0.5205417467957989,2.0,59.0,-2.8640653603,60.0,-2.1279081622,,,,,,,,,,,,
21,Biofilm__BC,4.2839863466749994,1.8565246380034721,4.0,61.0,2.324208947,62.0,6.7470679537,63.0,3.6412491034,64.0,4.4234193826,,,,,,,,
22,Biofilm__Sw,2.5883772147000004,5.790453999223924,2.0,65.0,6.6828465037,66.0,-1.5060920743000001,,,,,,,,,,,,
23,Life Cycle__BT,4.3786978797,0.4273927924900931,2.0,67.0,4.6809102215,68.0,4.0764855379,,,,,,,,,,,,
24,Life Cycle__B36,5.0932302452,2.101056425038092,2.0,69.0,6.578901491,70.0,3.6075589994,,,,,,,,,,,,
25,Life Cycle__B60,8.710772415049998,0.7631848429517886,2.0,71.0,9.2504255928,72.0,8.1711192373,,,,,,,,,,,,
26,M9__M9exp,-1.850371707708594e-17,0.46531224126092563,3.0,73.0,0.1974688342,74.0,-0.5314814870000001,75.0,0.33401265280000003,,,,,,,,,,
27,M9__M9tran,-0.3545929614666666,0.8164529355641149,3.0,76.0,0.1391055186,77.0,-1.2969936043999999,78.0,0.09410920140000001,,,,,,,,,,
28,M9__M9stat,6.4537581526,0.277559414457913,3.0,79.0,6.6145422751,80.0,6.1332607436,81.0,6.6134714391,,,,,,,,,,
29,Supplement__M+G,-6.236718466466666,4.454053547425923,3.0,82.0,-11.0304687763,83.0,-5.4533988509,84.0,-2.2262877722,,,,,,,,,,
30,Supplement__Glu,-2.864466252333333,2.4813854276074205,3.0,85.0,-0.2690874779,86.0,-5.2134788074,87.0,-3.1108324717,,,,,,,,,,
31,Supplement__Fru,-3.9745104624999996,1.3036759736927395,3.0,88.0,-2.6170102317,89.0,-5.2167016901,90.0,-4.0898194657,,,,,,,,,,
32,Supplement__Mal,-6.0332829643,1.4943156467449574,3.0,91.0,-5.7131110827,92.0,-4.7250035804,93.0,-7.6617342298,,,,,,,,,,
33,Supplement__G+S,1.5693407826999999,2.136054978238887,2.0,94.0,3.0797597428,95.0,0.0589218226,,,,,,,,,,,,
34,Supplement__Pyr,-2.223956508,1.0560256654318798,3.0,96.0,-1.7205431676,97.0,-1.5138308318,98.0,-3.4374955246,,,,,,,,,,
35,Supplement__Gly,-2.799918972,3.795507682152389,3.0,99.0,-1.665042205,100.0,0.2986922361,101.0,-7.0334069471,,,,,,,,,,
36,Supplement__Glucon,-7.025081372966667,6.738591744592793,3.0,102.0,-5.6732513969,103.0,-1.0648803669,104.0,-14.3371123551,,,,,,,,,,
37,Stressors__aero,-1.4235253409000002,1.3214667885565092,3.0,105.0,0.0632342845,106.0,-2.4642834236,107.0,-1.8695268836,,,,,,,,,,
38,Stressors__nit,-0.2525681830666666,1.8383514653303088,3.0,108.0,1.4728451216,109.0,-0.0444117227,110.0,-2.1861379481,,,,,,,,,,
39,Stressors__ferm,0.4447624528,0.8779520050062489,3.0,111.0,1.0719571724999999,112.0,-0.558595598,113.0,0.8209257839,,,,,,,,,,
40,Glc Growth/Exhaust__T-5.40H,-2.4101315462,,1.0,114.0,-2.4101315462,,,,,,,,,,,,,,
41,Glc Growth/Exhaust__T-4.40H,-0.6155878153000001,,1.0,115.0,-0.6155878153000001,,,,,,,,,,,,,,
42,Glc Growth/Exhaust__T-3.40H,1.0616647787,,1.0,116.0,1.0616647787,,,,,,,,,,,,,,
43,Glc Growth/Exhaust__T-2.40H,-0.5518973325000001,,1.0,117.0,-0.5518973325000001,,,,,,,,,,,,,,
44,Glc Growth/Exhaust__T-1.40H,0.1192335488,,1.0,118.0,0.1192335488,,,,,,,,,,,,,,
45,Glc Growth/Exhaust__T-1.10H,-3.0265982456,,1.0,119.0,-3.0265982456,,,,,,,,,,,,,,
46,Glc Growth/Exhaust__T-0.40H,1.4066252381,,1.0,120.0,1.4066252381,,,,,,,,,,,,,,
47,Glc Growth/Exhaust__T0.0H,-0.6347388084000001,,1.0,121.0,-0.6347388084000001,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,8.1468243383,,1.0,122.0,8.1468243383,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,3.3673457867,,1.0,123.0,3.3673457867,,,,,,,,,,,,,,
50,Glc Growth/Exhaust__T1.30H,4.8263095265,,1.0,124.0,4.8263095265,,,,,,,,,,,,,,
51,Glc Growth/Exhaust__T2.0H,-0.134872982,,1.0,125.0,-0.134872982,,,,,,,,,,,,,,
52,Glc Growth/Exhaust__T2.30H,0.3111604347,,1.0,126.0,0.3111604347,,,,,,,,,,,,,,
53,Glc Growth/Exhaust__T3.0H,3.2911634816,,1.0,127.0,3.2911634816,,,,,,,,,,,,,,
54,Glc Growth/Exhaust__T3.30H,1.4848693512,,1.0,128.0,1.4848693512,,,,,,,,,,,,,,
55,Glc Growth/Exhaust__T4.0H,0.3630310519,,1.0,129.0,0.3630310519,,,,,,,,,,,,,,
56,Glc Growth/Exhaust__T5.0H,-0.8466544788,,1.0,130.0,-0.8466544788,,,,,,,,,,,,,,
57,Stressors__HPh,11.9889284947,3.128330374561191,3.0,131.0,9.3020382527,132.0,11.2414607641,133.0,15.4232864673,,,,,,,,,,
58,Stressors__LPh,3.0110287935,2.0952753016304,3.0,134.0,5.4147668443,135.0,1.5710187868,136.0,2.0473007494,,,,,,,,,,
59,Stressors__LPhT,10.561019370766667,3.2388433693299836,3.0,137.0,13.6189941637,138.0,10.8966228129,139.0,7.1674411357,,,,,,,,,,
60,Stressors__SMMPr,0.7924658542666667,0.15031837340109058,3.0,140.0,0.7868804777,141.0,0.6450180152,142.0,0.9454990699,,,,,,,,,,
61,Stressors__HiTm,-2.4795864543666664,3.7107237084591405,3.0,143.0,-6.2406126128,144.0,-2.3768478594999998,145.0,1.1787011092,,,,,,,,,,
62,Stressors__LoTm,4.759826582533333,1.8929512741835897,3.0,146.0,4.2464797317,147.0,6.8565056559,148.0,3.17649436,,,,,,,,,,
