,zntA
Cr_1,0.022607994813282867
Cr_2,0.12547410461662753
Cr_3,0.2586735547668894
Cr_4,0.38655209281121816
Cr_5,0.5039890513353462
Cr_6,0.6004710118238133
Fe_1,-0.006784999281202529
Fe_2,0.005519284756128442
Fe_3,0.001030178712053606
Fe_4,-0.039275668658683316
Fe_5,-0.0961617527494604
Fe_6,-0.1572139323705269
Cd_1,0.10102928342256967
Cd_2,0.444760979022844
Cd_3,0.8324609281070894
Cd_4,1.1593816052097785
Cd_5,1.4057307154656968
Cd_6,1.6045350683037978
Zn_1,0.08413676242321934
Zn_2,0.3819756605252447
Zn_3,0.6935521337201938
Zn_4,0.9195713351669385
Zn_5,1.0523099030689862
Zn_6,1.1304598436936977
Cu_1,0.003419508126349572
Cu_2,0.025079624014837414
Cu_3,0.0556276263068484
Cu_4,0.08540297976166931
Cu_5,0.11311004576159416
Cu_6,0.13285338726820245
Pb_1,0.008574984281770108
Pb_2,0.05444012299939452
Pb_3,0.12344778989785304
Pb_4,0.1950409300354719
Pb_5,0.26653441638850256
Pb_6,0.3329194833072224
