,lctP
Cr_1,-0.0014265141961426638
Cr_2,0.0022441655386317236
Cr_3,0.0061476051292362185
Cr_4,0.0094586336048974
Cr_5,0.010725653654566757
Cr_6,0.008916234250380049
Fe_1,-0.0052558307534698034
Fe_2,-0.02242100001030747
Fe_3,-0.04133637180267775
Fe_4,-0.06454511368969107
Fe_5,-0.08467622244627075
Fe_6,-0.10174525592860084
Cd_1,0.002079281146222153
Cd_2,0.003454875922427253
Cd_3,0.004676106201851247
Cd_4,0.006526212441367323
Cd_5,0.004108854023753921
Cd_6,0.006920675381058223
Zn_1,-0.0027695994347447968
Zn_2,-0.005558567626833581
Zn_3,-0.008281758012617572
Zn_4,-0.013894635858971716
Zn_5,-0.015025925056639954
Zn_6,-0.016326173418537843
Cu_1,0.006038228970324088
Cu_2,0.013053506127705778
Cu_3,0.015049053278189487
Cu_4,0.01663085786933709
Cu_5,0.01866454276455119
Cu_6,0.022265365609227438
Pb_1,0.004395952501324007
Pb_2,0.01233325016434916
Pb_3,0.023675276933116458
Pb_4,0.035560002816716216
Pb_5,0.051281798586544615
Pb_6,0.06750273307120111
