,yjcE
Cr_1,-0.001507543560180424
Cr_2,0.001484739817015005
Cr_3,0.00463369768715743
Cr_4,0.010796966051265284
Cr_5,0.012834993822134927
Cr_6,0.013033623663653652
Fe_1,-0.0052120000246599595
Fe_2,-0.02970209768877265
Fe_3,-0.056421940429227685
Fe_4,-0.08418149170868501
Fe_5,-0.102497827000563
Fe_6,-0.11284022190470155
Cd_1,0.0007170412005316956
Cd_2,0.003374179678265191
Cd_3,0.00687587268947655
Cd_4,0.006115092524258514
Cd_5,0.0003789671120331947
Cd_6,-0.00166778716627219
Zn_1,-0.0003178920045436192
Zn_2,0.0025725238546880913
Zn_3,0.00947535842962961
Zn_4,0.018194755387386536
Zn_5,0.02377069008437624
Zn_6,0.021343367253780263
Cu_1,0.0032996319221907113
Cu_2,0.008360939510722394
Cu_3,0.013179495410237307
Cu_4,0.02100995231345845
Cu_5,0.02752161560326449
Cu_6,0.029957930997768813
Pb_1,-0.0016077276787059456
Pb_2,-0.006923857499363853
Pb_3,-0.011191570390198798
Pb_4,-0.007676877114574148
Pb_5,0.0022834172001473577
Pb_6,0.010430391604152064
