,SP5448_09400
SRX1726505,-0.1288886263
SRX1726506,-0.2152461411
SRX1726507,0.3441347675
SRX1726508,-2.0828361623
SRX1726509,-1.9258598031
SRX1726510,-1.4736028717
SRX1726511,-2.3258824402
SRX1726512,-2.1780642415
SRX1726513,-2.1397089489
SRX1081650,0.3061424169
SRX1081651,-0.3113962584
SRX1081652,-0.031056733000000003
SRX1081653,-0.3176147932
SRX1081654,-0.1393339079
SRX1081655,0.23645848260000002
SRX1081656,0.2819833415
SRX1081657,-0.5754425133000001
SRX1081658,-0.4387353621
SRX1081659,0.0059309789
SRX1081660,0.5828335258
SRX1081661,-0.2615425135
SRX1081662,0.0590752783
SRX1081663,-0.0236337423
SRX1081664,0.12937678560000002
SRX1081665,0.0650547142
SRX1081666,-0.1200997099
SRX1081668,0.25669163240000004
SRX1081669,0.18410795870000002
SRX1081670,0.0395245015
SRX1081671,0.0716759173
SRX1081672,-1.0423331259
SRX1081673,-1.720406122
SRX1081674,-1.5937905620000001
SRX1081675,-1.7649715199
SRX1081676,-1.1625451826
SRX1081677,-1.4970242245
SRX1081678,-0.7361574421
SRX1081679,-1.2794079414000001
SRX1081680,-1.0823403106
SRX1081681,-2.0060866773
SRX1081682,-2.047956031
SRX1081683,-1.7347608331000002
SRX1081684,-1.1979790586
SRX1081685,-1.5931872558
SRX1081686,-1.9525113449
SRX1081687,-1.1813073077
SRX1081688,-2.0837265343
SRX1081689,-1.3261278109
SRX1081690,-0.7344649714
SRX1081691,-0.5947130361
SRX1081692,-0.6749154753000001
SRX1962715,0.026659879600000002
SRX1962716,-0.0471316052
SRX1962717,0.0204717256
SRX1962718,-0.6281420081
SRX1962719,-0.7826554036000001
SRX1962720,-0.8472959168
SRX1962721,-0.7816495487
SRX4892146,0.0273413152
SRX4892147,0.0419596827
SRX4892148,-0.021092889400000002
SRX4892149,-0.0482081085
SRX4892150,-0.7910027478
SRX4892151,-0.4862465287
SRX4892152,-0.5952043222
SRX4892153,-0.6160732266
SRX4892154,-0.3786490732
SRX4892155,-0.2207472663
SRX4892156,-0.3091765613
SRX4892157,-0.3475967504
SRX4892158,-0.1842545387
SRX4892159,-0.2502573808
SRX4892160,0.047588355400000004
SRX4892161,-0.0281741821
SRX7620814,0.0906619703
SRX7620815,0.0152044304
SRX7620816,0.0667903297
SRX7620817,-0.9035972042
SRX7620818,-0.7967145044
SRX7620819,-0.8825015298000001
SRX7620856,-0.4171422636
SRX7620857,-1.8053556853
SRX7620858,-0.8361165437
SRX7620859,-1.5802287278
SRX7620860,-0.1018532426
SRX7620861,-2.0438013802
SRX7620862,0.4023035982
SRX7620863,-0.3098385761
SRX7620864,-0.0918323595
SRX7620865,-0.3620150536
SRX7620866,-0.4831279691
SRX7620867,-0.7084612234000001
SRX2161502,0.055188816700000004
SRX2161503,-0.0150328769
SRX2161504,-0.0401559398
SRX2161505,0.0284492683
SRX2161506,0.1489318792
SRX2161507,-0.1402996618
SRX2161508,0.2748959413
SRX2161509,0.5899616214
SRX2161510,0.22844281530000002
SRX2161511,-0.0140648004
SRX2161512,-0.21436006070000002
SRX2161513,-0.2311201609
SRX2161514,-1.193026056
SRX2161515,-1.2653307568
SRX2161516,-1.4605876447
SRX2161517,-1.1052020504
SRX2161518,-1.3031013303
SRX2161519,-1.1019474855
SRX2161520,-1.1529951995
SRX2161521,-1.2762459188
SRX2161522,-1.1217884682
SRX2161523,-1.9628867334
SRX2161524,-2.1536068351
SRX2161525,-1.9376542617
