,-0.09984546250000001,-0.0713181875,-0.0427909125,-0.014263637499999995,0.01426363750000001,0.04279091250000003,0.07131818750000002,0.09984546250000001,0.12837273750000003,0.15690001250000005,0.18542728750000007,0.21395456250000003,0.24248183750000005,0.27100911250000004,0.2995363875,0.3280636625000001,0.35659093750000004,0.3851182125000001,0.4136454875000001,0.44217276250000004
thresh,-0.085581825,0.085581825,2,,,,,,,,,,,,,,,,,
unreg,1,5,72,1331,1352,46,7,1,0,0,0,0,1,0,0,0,0,0,0,0
MntR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
unreg_genes,['USA300HOU_RS00780'],[],[],[],[],[],[],['USA300HOU_RS06605'],[],[],[],[],['gpmA'],[],[],[],[],[],[],[]
MntR_genes,[],[],[],[],['mntH'],[],[],[],[],[],[],[],[],[],[],[],['sitA' 'mntB'],['mtsC'],[],[]
