locus,comp,gene_name,product,operon,TF,MntR,link
USA300HOU_RS03425,0.371120937,mtsC,membrane protein,"sitA,mtsC,mntB",MntR,True,https://aureowiki.med.uni-greifswald.de/SAUPAN002508000
USA300HOU_RS03430,0.368960104,mntB,phosphonate ABC transporter ATP-binding protein,"sitA,mtsC,mntB",MntR,True,https://aureowiki.med.uni-greifswald.de/SAUPAN002509000
USA300HOU_RS03420,0.364071891,sitA,metal ABC transporter substrate-binding protein,"sitA,mtsC,mntB",MntR,True,https://aureowiki.med.uni-greifswald.de/SAUPAN002507000
USA300HOU_RS13070,0.232924982,gpmA,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",gpmA,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005952000
USA300HOU_RS06605,0.08927526300000001,,hypothetical protein,,Genomic Island 4,False,https://aureowiki.med.uni-greifswald.de/SAUPAN003631000
USA300HOU_RS00780,-0.08582278800000001,,hypothetical protein,,,False,
