,A,MntR
R2,,0.2445408991939274
xmin,,5.8582119824
xmid,,7.869219810783791
xmax,,9.7892551842
ystart,,0.11436180817251085
yend,,8.328129508704464
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,1.7852317420000001,7.2040644717
USA300_LAC_U01-Set001_CAMHB_Control_1,0.052242487000000004,8.649570878
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,1.391874407,8.5569479602
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,1.85293317,8.6211130998
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,1.261587756,8.6898518885
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,2.010123396,7.1692154304
USA300_LAC_U01-Set001_CAMHB_Control_2,-0.052242487000000004,8.752201036
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,1.294088747,8.5775461813
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,2.099924244,8.5873906884
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,1.221447128,8.6374899709
USA300_TCH1516_U01-Set000_CAMHB_Control_1,-0.33249936500000005,8.6474648482
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,0.43381488300000004,8.5817346126
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,-0.31017991500000003,8.6561821941
USA300_LAC_U01-Set001_R10LB_PreCulture_1,10.76641516,8.8631911907
USA300_LAC_U01-Set001_R10LB_PreCulture_2,10.19348657,8.9412698876
USA300_LAC_U01-Set001_R10LB_Control_1,11.75485628,9.0097074632
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,11.22879948,9.0983414657
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,10.69902216,8.8661782035
USA300_LAC_U01-Set001_R10LB_Control_2,11.2041714,8.9952002882
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,11.24447312,8.9454095484
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,10.19447335,9.0260936723
USA300_TCH1516_U01-Set000_R10LB_Control_1,8.529845295,9.0737081003
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,8.649499375,9.0458779083
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,7.846104599,9.1612412998
USA300_TCH1516_U01-Set000_R10LB_Control_2,8.269065553,8.8637913626
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,8.683707892,9.042853518
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,9.126868011,9.177071347
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,0.19688090900000002,8.390488224
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,0.5859721920000001,8.0366015239
USA300_TCH1516_U01-Set000_CAMHB_Control_2,0.33249936500000005,8.4516803356
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,1.006342053,8.5026190231
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,0.067769259,8.4396932884
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,-0.083412714,8.5740893555
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,-0.310407115,8.5390924728
USA300_LAC_U01-Set004_CAMHB_Control_1,2.638505317,9.4016412599
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,3.301918376,9.4673086088
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,2.334595255,9.4936657974
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,0.490016424,9.366391897
USA300_LAC_U01-Set004_CAMHB_Control_2,2.904947021,9.4466795561
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,2.904985897,9.4448675077
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,1.9090214630000002,9.4149522911
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,-0.063427831,9.288256262200001
USA300_LAC_U01-Set004_R10LB_Control_1,-8.472538077,9.4448843515
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,8.187602132,9.7725000058
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,6.436482614,9.7410863256
USA300_LAC_U01-Set004_R10LB_Control_2,-8.746286842,9.5138361466
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,8.100011183,9.7277110905
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,7.156610185,9.7892551842
USA300_TCH1516_U01-Set003_CAMHB_Control_2,0.65642623,6.1013569882
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,0.630883009,6.020469416
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,1.22096646,6.574350179
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,3.72237287,6.9588571595
USA300_TCH1516_U01-Set003_CAMHB_Control_3,0.382245053,6.3533418281
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,-0.192450264,5.8582119824
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,0.8643000070000001,6.1325904453
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,3.252635494,6.6871235301
USA300_LAC_ICA-Set001_R10LB_Control_1,10.83918535,9.2909705565
USA300_LAC_ICA-Set001_R10LB_Control_2,11.05858759,9.2447671449
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,11.06620057,9.2892933273
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,11.42530335,9.313484388
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,10.39978882,9.3479463607
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,10.72042768,9.3277647385
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,10.81458089,9.2948218479
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,10.29532247,9.1425637485
USA300_TCH1516_BK-Set001_THB_Control_1,1.103445667,7.5775915719
USA300_TCH1516_BK-Set001_THB_Control_2,0.75341324,8.165155711
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,-1.8515075410000001,7.8680280017
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,-0.37152423700000003,7.7764763942
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,1.154610789,8.4777181517
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,-0.644406624,8.1071129746
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,-0.484224943,8.0305949329
