,A,RplD,ArcA,DksA,Fnr
R2,,0.3626717984188301,0.28156694436587604,0.07803911800028951,0.007691637267801865
xmin,,-7.7441813551,-3.6017898952,-2.4607235254,-7.8525940196
xmid,,,,1.590127751799819,
xmax,,7.0021827325,3.7109145168,3.1213327657,4.4171410107
ystart,,-10.622978179323008,6.340450837263494,-0.7335059834457951,1.5415670341706225
yend,,8.437562808531032,-7.824817809410557,-12.303484113001073,-2.303677257566755
aat__00m_00s__1,-0.8081293591,0.119280939,0.1536251284,0.08054442,-0.0825740115
aat__00m_30s__1,-1.164616206,0.1515325408,-0.1085541986,0.12214406850000001,0.16485310350000001
aat__01m_00s__1,-1.136653051,0.188497684,-0.269085791,0.1382325375,0.7752711503
aat__02m_00s__1,-1.0684378191,0.3069956103,0.0131235692,0.029363574400000002,0.9066270852
aat__05m_00s__1,-0.9107553229,0.12206808170000001,0.26443002660000003,0.1536590897,0.95171602
aat__10m_00s__1,0.3589017203,0.5122435713,-0.1415413156,-0.08948817220000001,1.0192587317
aat__00m_00s__2,0.8147274441,0.0637079789,-0.1227035083,-0.07741183900000001,0.1234264677
aat__00m_30s__2,-0.2295442543,0.0223353433,-0.4182880135,0.1973309123,0.4334180231
aat__01m_00s__2,-0.44770665600000004,0.3072259651,-0.1456535487,0.1813637991,0.7979562918
aat__02m_00s__2,-0.1911028464,0.036707181400000004,0.0864050615,0.1222568287,0.8964971719
aat__05m_00s__2,-0.3940300493,-0.10333088330000001,0.326354303,0.1975339776,0.9047534472000001
aat__10m_00s__2,0.45771434800000005,-0.0319975022,0.2809830862,0.5127946045,0.9185125141
aat__00m_00s__3,-0.006598085,-0.18298891790000002,-0.0309216201,-0.003132581,-0.040852456200000005
aat__00m_30s__3,-0.0297566278,-0.2464795157,-0.0305290823,0.4870742456,0.2208704434
aat__01m_00s__3,-0.04078799,0.10728875980000001,-0.30555163100000005,0.2862930902,0.7920547098
aat__02m_00s__3,-0.2870172726,-0.1706684813,0.0006214416,0.3406877553,0.8818752216
aat__05m_00s__3,-0.694664728,-0.45082325840000004,0.6068628834,0.4949504851,0.9825066807
aat__10m_00s__3,-0.8107965397,-0.3390485974,0.5516321501,0.4639717364,0.9444446514
abx_mega__dmso-2__1,2.6368719033,-1.3285114459,0.49107579710000004,0.32099072230000003,0.0403637158
abx_mega__ery_dmso__1,1.1063921077,1.34314088,-0.9538123343,-0.2611013585,0.5459244040000001
abx_mega__nal_naoh__1,2.052749258,-0.3785547964,0.3631602573,0.4520049385,-0.6791990309
abx_mega__dmso-5__1,0.31416469280000003,-1.1803574183,-0.17749356630000002,-0.10900234290000001,0.0078028844000000005
abx_mega__rif_dmso__1,1.8455186367,-0.2332045069,-0.2571254471,0.9415973331,-1.3129271236
abx_mega__novo_h2o__1,-7.6340782993000005,0.7976448272000001,-0.5795873771,-1.0620210601,0.20689053170000002
abx_mega__rach_dmso__1,1.2255638386,0.718032596,-0.6394832572,-0.7266650701,-0.045048951000000004
abx_mega__metro_dmso__1,0.1354326854,-0.9616247579,-0.5994008193,0.1516893865,0.4656249649
abx_mega__dmso-6__1,1.7863012773,-1.5198131971,-0.8093510237,-0.3209965442,-0.3784852643
abx_mega__chl_h2o__1,1.7662384160000002,2.4993723122000002,-1.223874242,-1.282108507,0.3019332691
abx_mega__cst_h2o__1,-0.8246588527000001,-0.2025857379,-0.20132201460000002,-0.5987943937,0.0320312785
