,yhiJ
Cr_1,0.015357474737770988
Cr_2,0.02606382491816196
Cr_3,0.0406478843378956
Cr_4,0.05428957794631753
Cr_5,0.07055445418966487
Cr_6,0.08163416418443285
Fe_1,0.005352332367355073
Fe_2,0.008954437410943877
Fe_3,0.009696310419304473
Fe_4,-0.006005775971451557
Fe_5,-0.023328687554092974
Fe_6,-0.060134293499875126
Cd_1,-0.0007756709881103303
Cd_2,0.012806409151314962
Cd_3,0.01832570528179276
Cd_4,0.019025603256359797
Cd_5,0.01039605074332799
Cd_6,0.017864772728350294
Zn_1,-0.0998403663099774
Zn_2,-0.16896836176137045
Zn_3,-0.17393315087818295
Zn_4,-0.21450970380902384
Zn_5,-0.26972508538349993
Zn_6,-0.012196567024826792
Cu_1,0.005953058288455335
Cu_2,0.01006012234528512
Cu_3,0.017167125319932964
Cu_4,0.014202628621990291
Cu_5,0.016443032620496068
Cu_6,0.022059482266900816
Pb_1,0.019325007808469543
Pb_2,0.032937923951368235
Pb_3,0.037617300274612415
Pb_4,0.04609726204055181
Pb_5,0.05626984589568353
Pb_6,0.06995926902813146
