,PSPTO_A0072
SRX1828913,0.3321970092
SRX1828914,-0.6870359264
SRX1828915,-0.0765639893
SRX1828916,-0.9501077854000001
SRX1828917,-0.25563301990000004
SRX1828918,-0.5675061766
SRX3983989,0.6621751507
SRX3983990,-0.18691890460000002
SRX3983993,-0.8649899059
SRX3983994,-0.8358186865
SRX3983995,0.4209169291
SRX3983996,-0.2963448705
SRX3983997,-0.8385172217
SRX3983998,0.3436433041
SRX3983999,0.30189363150000004
SRX3984000,0.8331555817
SRX3984001,-0.8381820554
SRX3984002,-0.8218860746000001
SRX3984003,-0.9773260975
SRX3984004,0.2553497584
SRX3984005,0.7321153865000001
SRX3984006,-0.6886767318
SRX3984007,-1.0236663182
SRX3984008,0.47413014610000004
SRX3984009,0.0006169813000000001
SRX3984010,-0.7090203128
SRX3984011,0.4288018041
SRX3984012,-0.0203769456
SRX3984013,0.25151389890000003
SRX3984014,0.21486827600000002
SRX3984015,-1.0880682543
SRX3984016,0.19919311380000002
SRX3984017,-0.6752175472
SRX3984019,-0.1083149301
SRX3984020,-0.8934379798000001
SRX3984021,-0.26259511950000003
SRX3984022,-0.5408693373
SRX3984023,0.0318310655
SRX3984024,0.45647657220000004
SRX3984025,0.6138670528
SRX3984026,0.5451073784
SRX3984027,0.6083604126000001
SRX3984028,0.3989908546
SRX3984029,0.6015969997
SRX3984031,-0.4818496271
SRX3984032,-0.7027218580000001
SRX3984034,0.022684935200000002
SRX3984035,-1.3691403146
SRX3984036,-0.2993878272
SRX3984037,0.0093891633
SRX3984038,-0.47363404070000004
SRX3984039,-0.1027494708
SRX3984040,0.6641720895000001
SRX3984041,-0.5005341407
SRX3984042,-0.5232544158
SRX3984043,-1.1608955738
SRX3984045,-0.0026481792
SRX3984046,0.13851387140000002
SRX3984047,-0.48921172230000004
SRX3984048,-0.8445438474
SRX3984049,-0.8047641904
SRX3984050,-1.011737118
SRX3984051,-0.4749118337
SRX3984052,0.043758025000000006
SRX3984056,-0.7768824146000001
SRX3984057,-0.583058732
SRX3984058,-0.8987371016000001
SRX3984059,0.1123698018
SRX3984061,-0.2518851238
SRX3984062,0.0989553969
SRX3984063,-0.1271262588
SRX3984064,-0.0601302908
SRX3984065,0.3330405077
SRX3984066,0.0572193094
SRX3984067,0.11075027380000001
SRX3984068,0.3055104336
SRX3984069,-1.0231915101
SRX3984070,-0.6408437475000001
SRX3984071,-0.8180356389000001
SRX3984073,0.392242464
SRX3984074,0.5149384877000001
SRX3984077,-0.0512194714
SRX3984078,-0.0228275213
SRX3984079,-0.0800276828
SRX3984080,-0.1930298721
SRX3984082,0.009181266700000001
SRX3984084,-0.6953235784
SRX6997963,0.25437389320000003
SRX6997964,-0.0397998688
SRX6997965,0.1496773351
SRX6997967,-0.37398908080000004
SRX6997968,-0.5045463382
SRX6997969,-0.2214510939
SRX6997971,0.1196151876
SRX6997972,-0.5708985088
SRX6997973,0.0523221101
SRX3159100,0.1195951386
SRX3159101,-0.3123714653
SRX3159102,0.2930967796
SRX3159103,-0.100320453
SRX3159000,0.1260497619
SRX3159001,0.0560884855
SRX3159002,0.2838149994
SRX3159003,-0.0938257899
SRX3159004,0.0826517147
SRX3159005,-0.5708880898
SRX3159006,-0.5503666246
SRX3159007,-0.98001183
SRX3159008,-0.6181399603000001
SRX3159009,-0.8927091978
SRX3159010,0.45046888830000004
SRX3159012,0.1669082168
SRX3159013,-0.0903110448
SRX3159014,0.1108778635
SRX3159015,-0.698635326
SRX3159016,-0.1168082963
SRX3159017,-0.5467965197
SRX3159018,-0.8039711310000001
SRX3159019,0.0047095329000000005
SRX3159020,-0.2693296475
SRX3159021,-0.4975406055
SRX3159022,-0.2826462702
SRX3159023,0.4110307408
SRX3159024,-0.35009853160000004
SRX3159025,-0.4070078868
SRX3159026,-1.0319303065
SRX3159027,-0.7662582495
SRX3159028,-1.6853812028
SRX3159029,0.1510220061
SRX3159030,-0.0542332222
SRX3159034,0.1089398599
SRX3159036,-0.3527718885
SRX3159037,-0.3982062001
SRX3159041,0.184721359
SRX3159042,-0.24519893210000002
SRX3159043,0.0170195115
SRX3159045,0.47511026170000004
SRX3159047,-0.24840419460000002
SRX3159048,0.3258695077
SRX3159049,-0.0939564034
SRX3159050,-0.4602178468
SRX3159051,0.0037939202
SRX3159052,0.07260097930000001
SRX3159053,-0.5115531139
SRX3159054,-0.1930168625
SRX3159055,-0.8321171439
SRX3159056,-0.172862909
SRX3159057,-0.23248371080000002
SRX3159058,-1.1061655006
SRX3159060,-0.1720881316
SRX3159061,0.1657890794
SRX3159062,0.4619569194
SRX3159063,-9.954500000000001e-06
SRX3159066,0.1931069004
SRX3159069,-0.5588768338
SRX3159070,-0.4882999502
