,BSU_misc_RNA_38
M9exp_1,13.3164
M9exp_2,12.99
M9exp_3,12.6338
M9tran_1,12.5922
M9tran_2,12.5541
M9tran_3,12.8141
M9stat_1,13.3018
M9stat_2,12.9684
M9stat_3,12.8047
MG-0.1_1,13.1281
MG-0.1_2,12.3022
MG-0.1_3,13.3103
MG-0.2_2,12.7534
MG-0.2_3,12.8746
MG+5_1,13.2208
MG+5_2,12.8485
MG+5_3,12.1539
MG+10_1,13.2103
MG+10_2,12.9882
MG+10_3,12.5712
MG+15_1,12.3063
MG+15_2,13.4777
MG+15_3,13.0895
MG+25_1,12.617
MG+25_2,12.666
MG+25_3,12.5261
MG+45_1,12.9204
MG+45_2,12.2378
MG+45_3,12.9896
MG+60_2,12.5649
MG+60_3,12.5179
MG+90_2,12.3376
MG+90_3,13.087
MG+120_1,12.0452
MG+120_2,13.1344
MG+120_3,12.7705
MG+150_1,12.8111
MG+150_3,13.2868
GM-0.1_1,13.1365
GM-0.1_2,13.1417
GM-0.1_3,13.5124
GM-0.2_1,13.1566
GM-0.2_2,13.3991
GM-0.2_3,13.5731
GM+5_1,12.5914
GM+5_2,13.0667
GM+5_3,13.5386
GM+10_2,13.4115
GM+10_3,12.5791
GM+15_1,13.4265
GM+15_2,13.5586
GM+15_3,13.8183
GM+25_1,13.3008
GM+25_2,13.4054
GM+25_3,12.9612
GM+45_1,13.6582
GM+45_2,12.675999999999998
GM+45_3,13.3996
GM+60_1,13.3306
GM+60_2,12.6269
GM+60_3,12.3758
GM+90_1,13.4234
GM+90_2,13.012
GM+90_3,13.3011
GM+120_1,12.1644
GM+120_3,12.4302
GM+150_1,12.5163
GM+150_2,12.1815
GM+150_3,12.8019
BT_1,13.0638
BT_2,13.0189
B36_1,15.1301
B36_2,14.8255
B60_1,14.9767
B60_2,15.4468
S0_1,12.3027
S0_2,12.3762
S0_3,12.9628
S1_1,13.8183
S1_2,13.7642
S1_3,13.957
S2_1,13.2113
S2_2,13.0464
S2_3,13.4907
S3_1,13.3947
S3_2,13.8413
S4_1,14.2613
S4_2,14.0886
S4_3,14.3529
S5_1,14.2447
S5_2,14.779000000000002
S5_3,14.6987
S6_1,14.4381
S6_2,13.4172
S6_3,14.5146
S6/t_1,14.7084
S6/t_2,12.7102
S6_4,14.1617
S6_5,14.9168
S6_6,14.8461
S7_4,14.7177
S7_5,14.2201
S7_6,14.0848
S8_4,14.011
S8_5,13.2609
G135_1,10.1071
G135_3,8.9184
G150_1,10.2629
G150_2,10.6153
G150_3,10.2553
G180_1,10.5381
G180_2,11.103
G180_3,9.9098
T-5.40H_1,13.3932
T-4.40H_1,13.3052
T-3.40H_1,12.9491
T-2.40H_1,12.6214
T-1.40H_1,12.4998
T-1.10H_1,12.2519
T-0.40H_1,12.1643
T0.0H_1,12.2175
T0.30H_1,13.1296
T1.0H_1,12.7048
T1.30H_1,12.8624
T2.0H_1,13.0351
T2.30H_1,13.4367
T3.0H_1,13.252
T3.30H_1,13.3992
T4.0H_1,13.32
T5.0H_1,12.9051
LBexp_1,11.9475
LBexp_2,12.5353
LBexp_3,11.7324
LBtran_1,13.6324
LBtran_2,13.0732
LBtran_3,12.6215
LBstat_1,13.3512
LBstat_2,12.8338
LBstat_3,12.4512
LBGexp_1,11.7995
LBGexp_2,11.7922
LBGexp_3,11.4813
LBGtran_2,11.2812
LBGtran_3,12.5932
LBGstat_1,11.0336
LBGstat_2,10.3298
LBGstat_3,11.0315
Mt0_1,11.6689
Mt0_3,11.7302
M0t45_1,11.6891
M0t45_2,12.0184
M0t45_3,11.946
M0t90_1,12.964
M0t90_2,14.0335
M0t90_3,13.7473
M40t45_1,11.3913
M40t45_2,12.9329
M40t45_3,12.255
M40t90_1,12.9809
M40t90_2,13.8452
M40t90_3,14.1091
dia0_1,12.0825
dia0_2,11.9567
dia0_3,12.6131
dia5_1,11.9573
dia5_2,12.4078
dia5_3,12.8104
dia15_1,11.7235
dia15_2,12.382
dia15_3,11.6367
C30_1,11.9747
C30_2,12.2393
C90_1,13.0531
C90_2,13.7619
SMM_1,12.8647
SMM_2,12.7804
SMM_3,12.733
Salt_1,10.8395
Salt_2,10.4845
Salt_3,10.5493
M+G_1,11.9853
M+G_2,12.5409
M+G_3,12.3966
Glu_1,13.2443
Glu_2,12.6666
Glu_3,12.8811
Fru_1,12.7401
Fru_2,12.8256
Fru_3,12.1948
Mal_1,11.5968
Mal_2,12.1828
Mal_3,12.3423
G+S_2,12.7214
G+S_3,13.2413
Pyr_1,12.8814
Pyr_2,13.3283
Pyr_3,12.9549
Gly_1,11.8823
Gly_2,12.3645
Gly_3,10.868
Glucon_1,12.255
Glucon_2,12.5934
Glucon_3,11.2977
BI_1,13.7159
BI_2,13.5943
BC_2,15.0535
BC/t_1,14.5086
BC/t_2,15.1253
BC_1,14.2298
Sw_1,14.4633
Sw_2,14.5376
BMM_1,12.8308
BMM_2,12.5834
BMM_3,12.3557
Heat_1,13.2708
Heat_2,13.1802
Heat_3,12.2389
Cold_1,12.6609
Cold_2,11.4677
Cold_3,11.1032
Etha_1,11.3403
Etha_2,10.2608
Etha_3,11.1052
SMMPr_1,12.5102
SMMPr_2,12.1708
SMMPr_3,12.1714
HiTm_1,11.4923
HiTm_2,12.9181
HiTm_3,13.3151
LoTm_1,13.4966
LoTm_2,13.2214
LoTm_3,13.3789
HiOs_1,14.2829
HiOs_2,13.8797
HiOs_3,14.1232
Oxctl_1,11.4674
Oxctl_2,11.701
Oxctl_3,11.9799
Diami_1,12.2936
Diami_2,11.9608
Diami_3,12.1507
Paraq_1,12.633
Paraq_2,12.6486
Paraq_3,11.2127
H2O2_1,11.3523
H2O2_2,11.593
H2O2_3,11.0195
HPh_1,12.8031
HPh_2,12.2906
HPh_3,12.1457
LPh_1,12.3896
LPh_2,12.8716
LPh_3,12.3744
LPhT_1,13.7508
LPhT_2,13.8876
LPhT_3,13.9971
aero_1,12.6903
aero_2,11.5036
aero_3,12.6291
nit_1,13.4484
nit_2,13.4514
nit_3,13.3024
ferm_1,13.0755
ferm_2,12.5585
ferm_3,13.2309
