,aldA
Cr_1,-0.006283539819364954
Cr_2,0.002680124255538229
Cr_3,0.0062784470364517855
Cr_4,0.0019206517794918773
Cr_5,-0.0048502799451351575
Cr_6,-0.010509945302425529
Fe_1,-0.020562995907247632
Fe_2,-0.03883264588277482
Fe_3,-0.025445283349988964
Fe_4,-0.0162539639600063
Fe_5,0.011100675178021685
Fe_6,0.04813676167544248
Cd_1,0.0008118815335161466
Cd_2,0.00496696942854767
Cd_3,0.009164672130860349
Cd_4,0.006715367861114851
Cd_5,0.007433411633200656
Cd_6,0.009387591110799424
Zn_1,-0.0400287514666612
Zn_2,-0.08955354116176538
Zn_3,-0.05073283578290466
Zn_4,0.01501788322073821
Zn_5,0.0215736144340317
Zn_6,0.052305707392613365
Cu_1,0.006438681841930957
Cu_2,0.0154976989188716
Cu_3,0.014939580080731532
Cu_4,0.028555158931176224
Cu_5,0.043325515211807934
Cu_6,0.057125217162249414
Pb_1,0.005500602093569627
Pb_2,0.018336794237095708
Pb_3,0.02905911658580066
Pb_4,0.04050989884928858
Pb_5,0.06026131258196775
Pb_6,0.07425773917677657
