,ygjN
Cr_1,-0.0134523662116285
Cr_2,0.008932279542660708
Cr_3,0.016651085138628334
Cr_4,0.02884497277297115
Cr_5,0.03257075067941199
Cr_6,0.01860414174379586
Fe_1,0.3679978009520589
Fe_2,3.157274791520645
Fe_3,-0.002367902035020418
Fe_4,-0.020138494164951882
Fe_5,1.966399654149725
Fe_6,-0.0657997268850356
Cd_1,-0.0590421849787807
Cd_2,-0.10162200693045338
Cd_3,-0.11424445255655398
Cd_4,-0.08810558477242293
Cd_5,0.013308068466556158
Cd_6,0.01720883233155815
Zn_1,-0.01506926471021435
Zn_2,-0.025614015853688558
Zn_3,-0.032913120339641486
Zn_4,-0.035128918906237615
Zn_5,-0.019605562882312376
Zn_6,0.049494212570512085
Cu_1,0.3188643590161395
Cu_2,0.5235443962205782
Cu_3,0.6346732353395107
Cu_4,0.7791240594832495
Cu_5,1.0729270418937626
Cu_6,0.6117025048340599
Pb_1,0.06339092495890936
Pb_2,0.11186546959072304
Pb_3,0.14968506857418454
Pb_4,0.17007887260870794
Pb_5,0.1973413597680628
Pb_6,0.21495702994172552
