,A,trcR,whiB4,Rv1776c
degradosome:wt_cas9_ctrl:2,-1.4617459737,1.3997794258,0.3353559468,-1.6770244551
degradosome:wt_cas9_ctrl:3,-1.0351745979,1.1328278288,0.1277133465,-0.0718540724
degradosome:wt_expn:1,0.5166196072,0.0022837694000000003,-0.0662699514,0.0570738832
degradosome:wt_expn:2,-0.137839291,-0.1422907968,-0.071651585,0.0138185861
degradosome:wt_expn:3,-0.3787803162,0.1400070273,0.13792153640000002,-0.0708924692
delam:0_days_.09:1,-0.0452979983,0.1668875944,0.075827103,0.08614600060000001
delam:0_days_.09:2,0.5484216252,0.0096135727,0.0646355044,0.2434488505
delam:0_days_.09:3,0.2674870499,-0.0661566467,-0.08029876700000001,-0.06966799530000001
delam:0_days_.09:4,0.0803252907,0.1066592207,-0.1146688486,0.0698418314
delam:0_days_control:1,0.09486141020000001,-0.0088161473,-0.0414040303,0.0754125252
delam:0_days_control:2,-0.24919482,-0.1105455919,0.0633128745,-0.0454871437
delam:0_days_control:3,0.1074507277,0.041068896,-0.0724113947,-0.095298147
delam:0_days_control:4,0.0468826821,0.0782928432,0.0505025505,0.0653727654
delam:1_days_.09:1,-4.6308823931,0.6717013884,0.6052197221,-0.316152841
delam:1_days_.09:2,-4.7279039185,0.5319670307000001,0.7463306322000001,-0.24239654800000002
delam:1_days_.09:3,-4.3914042844,0.3900935112,0.5703155824,-0.47751799400000006
delam:1_days_.09:4,-4.4604328939,0.2805863213,0.6025915908,-0.3322486304
delam:1_days_control:1,-4.6361809007,0.4328924079,0.5124056387,-0.2552277167
delam:1_days_control:2,-4.3904730899,0.8101584357,0.5444533989,-0.4599045003
delam:1_days_control:3,-4.5945120434,0.5572256499,0.4676572855,-0.32509841980000004
delam:1_days_control:4,-4.6960971665999995,0.8142234685,0.5145138915,-0.4055842085
dg_inh:both:1,-10.822180726,0.2678712142,-1.094094688,0.4978870201
dg_inh:both:2,-10.8926787905,-0.1224259671,-1.0987230935,0.3745391058
dg_inh:both:3,-10.7548508678,0.1198424706,-1.0532563227,0.5264757863
dg_inh:dg:1,-9.5590485991,0.051379890000000004,-0.4531397941,0.43575609
dg_inh:dg:2,-9.7821913458,0.2056305273,-0.41776176260000003,0.38031527530000003
dg_inh:dg:3,-9.5105608357,0.1665567647,-0.561672315,0.5936066595
dg_inh:DMSO:1,0.0566223625,-0.0697368463,0.0803928126,0.10465970720000001
dg_inh:DMSO:2,-0.4485490729,0.040774510800000004,-0.0609508543,-0.2901770769
dg_inh:DMSO:3,0.3919267104,0.028962335500000002,-0.0194419583,0.18551736970000002
dg_inh:inh:1,-10.1627512463,0.23658218050000002,-0.9949990028000001,0.263182764
dg_inh:inh:2,-10.3636089069,0.2079415226,-0.9943848033,0.2337267369
dg_inh:inh:3,-10.0489708089,0.415041258,-1.0952559045,0.7291542253000001
dormancy:dormant_20d_rifampicin:1,0.34005749100000005,-0.4303876485,-0.030079801700000002,1.2388941324
dormancy:dormant_20d_rifampicin:2,1.2102071585,-1.0790925543,-0.4051112448,1.7601127542000001
dormancy:dormant_20d_rifampicin:3,1.2965542939999999,-0.9305999304,-0.49478950660000004,1.8461411025
dormancy:dormant_no_treatment:1,0.38287208300000003,0.24610509660000002,0.2566252958,-0.0664281753
dormancy:dormant_no_treatment:2,-0.2752628431,-0.0756958586,-0.0745679387,0.044226101000000004
dormancy:dormant_no_treatment:3,-0.1076092399,-0.17040923800000002,-0.182057357,0.0222020744
eccE1:control:1,0.4759999112,-0.0044808628,0.0356517081,0.11461196280000001
eccE1:control:2,-0.4759999112,0.0044808628,-0.0356517081,-0.11461196280000001
eccE1:delta_eccE1:1,-0.1264752398,0.0971852646,-0.0204975814,0.1405029974
eccE1:delta_eccE1:2,0.14360645460000002,-0.037574376,-0.0751349744,0.0096979265
eccE1:delta_eccE1_eccE1_HA_comp:1,-0.4940011454,-0.014470664000000001,0.23050143320000002,0.1746015557
eccE1:delta_eccE1_eccE1_HA_comp:2,-0.8473520689,0.1444515368,0.0739877109,0.2152830067
eccE1:delta_eccE1_empty_vector:1,0.1058350759,-0.23207835670000002,-0.1385207252,0.0201381952
eccE1:delta_eccE1_empty_vector:2,-0.2307418136,-0.1248604447,0.05614519900000001,0.09307297440000001
eccE1:delta_eccE1_myc_p1_HA_comp:1,0.3398863288,-0.2991719252,-0.2281790809,0.319720809
eccE1:delta_eccE1_myc_p1_HA_comp:2,0.2112677939,-0.1499512591,-0.0188038167,0.40505564930000004
eccE1:delta_eccE1_mycP1_eccE1_comp:1,-0.0919441686,-0.1108467603,-0.1208677216,-0.1234182244
eccE1:delta_eccE1_mycP1_eccE1_comp:2,-0.43581544440000003,0.054505441200000004,0.1737333073,0.3631162368
emb:0_days_2.45:1,0.047346812,-0.08901104600000001,0.0685207348,0.009915543300000001
emb:0_days_2.45:2,-0.4611720676,-0.2388338592,-0.22565921900000002,0.0003678119
emb:0_days_2.45:3,0.3283296611,-0.0760928403,-0.1721913593,0.1698133647
emb:0_days_2.45:4,-0.4980498753,-0.24394874930000002,-0.2530045774,-0.0817124059
emb:0_days_control:1,0.0342755194,-0.08821987390000001,-0.0030708536,0.0193411258
emb:0_days_control:2,-0.033143475,-0.0255450672,-0.1849241919,0.0871781736
emb:0_days_control:3,0.0288990811,-0.1650738076,0.0864470425,-0.0706565262
emb:0_days_control:4,-0.030031125500000002,0.2788387486,0.1015480029,-0.0358627731
emb:1_days_2.45:1,3.2070398449,-0.4227499859,-0.38158138750000004,0.0059837813
emb:1_days_2.45:2,3.3036244465999998,-0.45867731800000006,-0.32862970900000005,-0.0350163319
emb:1_days_2.45:3,3.5245066466,-0.44592346590000004,-0.2990573307,0.060925914000000005
emb:1_days_2.45:4,3.2060162265,-0.5808623642,-0.4314785464,-0.1024214982
emb:1_days_control:1,4.6808916409,-0.2843504129,-0.4439247154,0.0147135693
emb:1_days_control:2,4.1251791262,-0.4901206044,-0.5194503488000001,0.0923537525
emb:1_days_control:3,4.1992560938,-0.397992418,-0.7482583888000001,0.035154346600000004
emb:1_days_control:4,4.340194387,-0.27291288480000003,-0.46262671720000004,0.0573877023
espL:ko:1,0.5093877117,0.10540290070000001,0.0297425734,-0.09700347220000001
espL:ko:2,0.18762216480000002,0.14996419190000002,-0.0234107872,0.133267884
espL:wt:1,-0.378159715,-0.06307021780000001,0.014691560800000001,-0.0038873849
espL:wt:2,0.378159715,0.06307021780000001,-0.014691560800000001,0.0038873849
esx_1:ko:1,-0.7330013808,0.286126745,0.1949827228,-0.0736796663
esx_1:ko:2,-1.054035291,0.027152356000000002,-0.0632520911,0.2367116655
esx_1:wt:1,-0.0231880881,-0.0946028822,0.2607521937,0.24466415160000002
esx_1:wt:2,0.1122965046,0.026305972900000002,-0.1938064286,-0.1960137901
esx_1:wt:3,-0.08910841650000001,0.0682969093,-0.0669457651,-0.0486503615
genotoxic:control:1,0.33296514390000004,0.011597297500000001,-0.1624999581,0.46432043230000003
genotoxic:control:2,-0.33296514390000004,-0.011597297500000001,0.1624999581,-0.46432043230000003
genotoxic:growth_supplement:1,-0.2247231698,-0.21181107230000001,-0.0027345818,0.0827750114
genotoxic:growth_supplement:2,0.1004895197,-0.0344882304,0.1432227371,0.2235553445
growth:tss_expnt:1,6.5754939582,1.1311959893,-1.3867082205,-1.7132051095
growth:tss_expnt:2,2.4473523335,1.6281585159,-0.8893328454,-1.2210039214
growth:tss_expnt:3,4.3269692483,1.9084953341,-1.151109155,-1.890012934
growth:tss_starved:1,17.9718858541,0.4707170445,-2.2441226907,-2.1842456642
growth:tss_starved:2,17.2309192011,1.061557791,-2.0139341664,-2.0871051774
growth:tss_starved:3,16.6462034856,0.8807760565,-1.8670279551000002,-1.3249651031
growth:wt_expn:1,-0.2382757218,0.1095816035,0.008773927,0.0725292661
growth:wt_expn:2,-0.4582326903,-0.2335023219,0.08209850710000001,-0.033254730100000005
growth:wt_expn:3,0.696508412,0.1239207184,-0.09087243410000001,-0.0392745361
hs2:treated:1,-1.6156193909,-0.3723453338,0.2538834378,0.216775926
hs2:treated:2,-1.386783945,-0.2765939314,0.1676943443,0.24790920500000002
hs2:treated:3,-1.2123824066,-0.1616941594,0.155062751,0.1326901566
hs2:untreated:1,-0.5659567039,-0.1479193432,-0.0167379306,-0.2654003304
hs2:untreated:2,-0.6197849378,-0.18058937800000002,-0.17248190970000002,-0.3042678499
hs2:untreated:3,1.1857416416,0.3285087211,0.1892198403,0.5696681803
hypoxia:000h_.81_DO:1,-0.62251542,0.026539143600000002,0.0798797489,-0.4499981018
hypoxia:000h_.81_DO:2,-0.1035000844,-0.2023927601,-0.18949924810000002,-0.0715311566
hypoxia:000h_.81_DO:3,0.7260155044000001,0.1758536165,0.1096194992,0.5215292584
hypoxia:017h_.57_DO:1,-0.8327505865,0.1402421851,-0.07351954000000001,-0.425176912
hypoxia:017h_.57_DO:2,-0.9954045733,0.1875536857,-0.19674752610000001,0.2214463996
hypoxia:017h_.57_DO:3,-1.640095775,-0.2994155315,-0.24615058080000002,-0.6923330937000001
hypoxia:023h_.42_DO:1,-1.6383773134,0.0090528489,-0.132420661,-1.3895270172
hypoxia:023h_.42_DO:2,-1.4781837825,-0.023103764500000002,-0.7577048834,-0.5845272966
hypoxia:040h_.11_DO:1,-1.4758660097,-0.20240133370000002,-0.3269035233,-0.1287790036
hypoxia:040h_.11_DO:2,-2.2806584963,-1.1916320104,-0.1216392627,-0.0795415783
hypoxia:041h_.09_DO:1,-4.1802924109,-0.5083344813,-0.37660912750000003,-1.177099264
hypoxia:041h_.09_DO:2,-2.7856096948999998,-0.27282293150000003,-0.5336133514,-0.55940985
hypoxia:041h_.09_DO:3,-3.0525841165,-0.3375799182,-0.4440113255,-2.4405060271
hypoxia:042h_.07_DO:1,-3.3879650078,-0.5211917806,-0.5920498177,-1.0673273311
hypoxia:042h_.07_DO:2,-3.2772869582,-0.6668095496,-0.7279651359,-1.8752246061000002
hypoxia:043h_.06_DO:1,-3.1625210215,-1.00224459,-0.2414796885,-0.476118262
hypoxia:043h_.06_DO:2,-3.515323894,-1.1545582077,-0.4595789863,-1.1370432206
hypoxia:043h_.06_DO:3,-2.9705191984,-0.6661696233000001,-0.3227264526,-1.1302608352
hypoxia:044h_.04_DO:1,-3.1763304898999998,-0.3629383109,-0.1018318642,0.3853492966
hypoxia:044h_.04_DO:2,-0.1668035874,-1.1499492438,-0.5204631684000001,-0.2589878863
hypoxia:044h_.04_DO:3,-2.9915145111,-0.32870315650000004,-0.22244771900000002,-0.5492640601000001
hypoxia:047h_0_DO:1,-5.5827374892,-0.5723007825,-0.2652265131,-0.8453107860000001
hypoxia:047h_0_DO:2,-4.2246109108,-1.4270609358000002,-0.49175257710000003,-0.9528063788000001
hypoxia:047h_0_DO:3,-6.298860223,-0.39964778300000003,-0.4736174427,-1.5118461777999999
hypoxia:049h_0_DO:1,-8.3550791417,-0.6960940734000001,-0.3995440058,-0.1583813979
hypoxia:049h_0_DO:2,-6.4769711395,-0.4801835399,-0.39390451130000004,-0.4744383217
hypoxia:049h_0_DO:3,-10.5358252593,-0.3637390883,-0.3589271888,-0.8437791339
hypoxia:050h_0_DO:1,-10.5503149919,-0.8282484991,-0.46597214330000003,-1.4054502067999999
hypoxia:050h_0_DO:2,-5.560595296,-0.4759296867,-0.3639852873,0.025075892000000002
hypoxia:050h_0_DO:3,-6.4446431335,-1.2242366955,-0.27811621880000004,-0.4526188759
hypoxia:052h_0_DO:1,-7.1661341307,-0.39811458320000004,-0.0131843401,0.2284616324
hypoxia:052h_0_DO:2,-2.9663629929,-0.8847521715000001,0.27145342780000004,0.2638466423
hypoxia:052h_0_DO:3,-4.1603659666,-0.22534075920000002,0.18498739660000002,0.163744669
hypoxia:054h_0_DO:1,-2.7925833674,-0.8361661248000001,-0.3766555861,-0.1330596917
hypoxia:054h_0_DO:2,-4.2427435762,-0.3939541573,0.0374124116,-0.1860992817
hypoxia:054h_0_DO:3,-3.9282020804,-0.47699201360000004,-0.0030449249,-0.1138955084
hypoxia:054h_0_DO:4,-1.8092776077,-0.16952776690000002,0.1860862768,-0.1676295992
hypoxia:054h_0_DO:5,-7.6212432097,-0.8788041209,-0.3529749097,-1.3604510767
hypoxia:070h_0_DO:1,-6.1309971439,-0.1007008895,0.4192012174,0.029359349700000002
hypoxia:070h_0_DO:2,-6.2600060314,-0.7850161444,0.4418675419,-0.7746125055
hypoxia:088h_0_DO:1,-9.2154240271,-1.063424205,0.446621058,-0.060458519100000004
hypoxia:088h_0_DO:2,-9.8411449166,-1.219949959,0.38762721110000004,-0.1706456224
hypoxia:114.5h_.04_DO:1,-4.2905977441,-1.0993154604,-0.017869393600000002,-0.4667978996
hypoxia:114.5h_.04_DO:2,-3.2982448784000002,-0.8909823131,0.1078803624,-0.4444260768
hypoxia:114.5h_.04_DO:3,-3.5098532193,-0.839885493,0.1853305891,-0.17715659420000002
hypoxia:115h_.06_DO:1,-1.0631331384,-0.8339509052,-0.0398662528,-0.1492707684
hypoxia:115h_.06_DO:2,-1.4548957322,-1.2387158471,0.071696069,-0.6040880837
hypoxia:115h_.06_DO:3,-1.5389887776,-0.8825093166,-0.0539782424,-0.29046408900000004
hypoxia:116h_.11_DO:1,0.9132023368000001,-0.9486161842,-0.162589072,-0.48120324800000003
hypoxia:116h_.11_DO:2,0.120932335,-0.9763387708000001,-0.0839141245,-0.37594236140000004
hypoxia:116h_.11_DO:3,0.029193124400000003,-0.8749111390000001,0.24447096210000002,-0.6807939934
hypoxia:120h_.47_DO:1,4.1160887914,-1.2239076492,-0.1891997203,-0.9125390935000001
hypoxia:120h_.47_DO:2,3.4788977922,-1.3859266757,0.07890355240000001,-0.6691684223000001
hypoxia:120h_.47_DO:3,4.7287503310000005,-0.9868226996,-0.1057555332,-0.6002402704
kinase:DMSO_0h_F:1,4.0834416089,0.3790086815,-0.0158721331,0.0539586374
