,gltJ
Cr_1,0.0032828993010992308
Cr_2,0.008400551077868806
Cr_3,0.010540982853055731
Cr_4,0.00959832645764504
Cr_5,-0.004169201133492238
Cr_6,-0.02177977370605669
Fe_1,-0.0064481932417113225
Fe_2,-0.029358439595923762
Fe_3,-0.05346499807825211
Fe_4,-0.07631350716968391
Fe_5,-0.09304065037702812
Fe_6,-0.10382140633278793
Cd_1,-0.002095747690344013
Cd_2,-0.003971228387158211
Cd_3,-0.004335116430261082
Cd_4,-0.006697485571573039
Cd_5,-0.013722306072335823
Cd_6,-0.012058971548085122
Zn_1,-0.002891210854519923
Zn_2,-0.005627042287846262
Zn_3,-0.003415113242274113
Zn_4,0.0012375544333903513
Zn_5,0.010540040812842842
Zn_6,0.016142020746289495
Cu_1,0.003209396679196132
Cu_2,0.007321698958074064
Cu_3,0.015596215052937188
Cu_4,0.02030319749117801
Cu_5,0.021888383933698432
Cu_6,0.028803697667410574
Pb_1,-0.002379888905237219
Pb_2,-0.000372903914710931
Pb_3,0.002238302133874789
Pb_4,0.005216031534273283
Pb_5,0.006538858408584774
Pb_6,0.010455205995499909
