,rpsJ
Cr_1,-0.007054183676100082
Cr_2,-0.011898358154575866
Cr_3,-0.021346407544748938
Cr_4,-0.030875309869015467
Cr_5,-0.0406236133877143
Cr_6,-0.05238453988118386
Fe_1,-0.006143435300650257
Fe_2,-0.007590385006175373
Fe_3,-0.0023024603928682567
Fe_4,-0.004076958071987743
Fe_5,0.003573776452812813
Fe_6,0.015702271130744475
Cd_1,-0.0005083259561113041
Cd_2,0.0038391775868852366
Cd_3,0.006892186646803422
Cd_4,0.007912529404101688
Cd_5,0.0032350226733104163
Cd_6,0.003944015914322727
Zn_1,0.004480324756432882
Zn_2,0.013833818588472277
Zn_3,0.023217156887072737
Zn_4,0.028556380577554094
Zn_5,0.032017999491344415
Zn_6,0.03427718586861513
Cu_1,0.004719320203849812
Cu_2,0.011393405862237155
Cu_3,0.021863117366329357
Cu_4,0.030089780166191675
Cu_5,0.038973363474791065
Cu_6,0.053058872317018974
Pb_1,0.006258865697215363
Pb_2,0.014595172025577554
Pb_3,0.02373429116703988
Pb_4,0.03564021983898882
Pb_5,0.03938564875347226
Pb_6,0.0451736745701015
