,ychM
Cr_1,0.0025879865355613123
Cr_2,0.0074358004909650935
Cr_3,0.012352569586713002
Cr_4,0.012314785822670742
Cr_5,0.01837330958612584
Cr_6,0.0161026776222891
Fe_1,-0.009724274079326724
Fe_2,-0.01301597420496296
Fe_3,0.006451242747793871
Fe_4,0.022472866512795345
Fe_5,0.03799750971682171
Fe_6,0.05468860249883977
Cd_1,-0.0004969978346055974
Cd_2,-0.0016580876558409292
Cd_3,-0.001285540999452168
Cd_4,-0.0010619568015973668
Cd_5,-0.007389660142831413
Cd_6,-0.004996877422745952
Zn_1,-0.00850961947633727
Zn_2,-0.010727883346363336
Zn_3,-0.007261478997292873
Zn_4,0.0035643676344812142
Zn_5,0.01465476010682328
Zn_6,0.028650758015443777
Cu_1,0.017503807847336773
Cu_2,0.055470772409200585
Cu_3,0.10489965751587946
Cu_4,0.15396736436905106
Cu_5,0.19280587707550967
Cu_6,0.2250068925896291
Pb_1,0.005197854712796881
Pb_2,0.012607010975732342
Pb_3,0.01851486256756104
Pb_4,0.026771591766995177
Pb_5,0.03895048065081914
Pb_6,0.051033125424885285
