,A,CsqR
R2,,0.7709101018130342
xmin,,-5.615406072000001
xmid,,0.7558726016931334
xmax,,4.897041648000001
ystart,,0.918722978753566
yend,,33.64532564278418
control__wt_glc__1,-0.1136009161516016,-0.14325094199999988
control__wt_glc__2,0.1136009161515893,0.14325094199999988
fur__wt_dpd__1,0.8785870340702524,-0.3516251600000002
fur__wt_dpd__2,1.49985842568529,-0.4728717480000002
fur__wt_fe__1,0.2207252321429522,-0.32696808499999985
fur__wt_fe__2,0.7354635999147624,-0.1998705869999995
fur__delfur_dpd__1,0.7503025217081352,-0.5546603819999998
fur__delfur_dpd__2,0.5669634352340449,-0.7290076480000005
fur__delfur_fe2__1,0.6144839131013099,0.09746230000000099
fur__delfur_fe2__2,0.4634324382689821,0.0943546090000016
acid__wt_ph5__1,-0.3608264824239859,-0.03586078699999984
acid__wt_ph5__2,0.3723262552593788,0.015072545000000659
acid__delgadx_ph5__2,0.1445571876960485,-0.20565589799999984
acid__delgadw_ph5__1,0.8357285495457347,-0.10672901099999964
acid__delgadw_ph5__2,0.4631767793919709,-0.015385939000000626
acid__delgade_ph5__1,0.2979737662764777,0.13663860299999975
acid__delgade_ph5__2,0.4847932043951218,0.021064587000000582
oxidative__wt_pq__1,0.4286906507744253,-0.6328145019999996
oxidative__wt_pq__2,0.6013829941055711,-0.7213570279999999
oxidative__deloxyr_pq__1,0.1684446510145539,-0.39462356499999984
oxidative__deloxyr_pq__2,-0.0661170933565341,-0.5165997280000001
oxidative__delsoxr_pq__1,0.6239686992170865,-0.7455810239999998
oxidative__delsoxr_pq__2,0.5558481487560821,-0.8571859479999997
oxidative__delsoxs_pq__1,0.1874554293085673,-0.5712761689999999
oxidative__delsoxs_pq__2,1.0873487979367615,-0.5839862480000004
nac_ntrc__wt_csn__1,0.7368772398010386,-0.039632909000000716
nac_ntrc__wt_csn__2,0.7950501426810724,-0.12089911599999947
nac_ntrc__wt_cytd__1,-0.0004590356582495,-0.09678350200000008
nac_ntrc__wt_cytd__2,0.3581599086683584,-0.2404722149999996
