,yaaA
Cr_1,-0.006816776396052045
Cr_2,-0.015915216068665045
Cr_3,-0.021037929038986675
Cr_4,-0.02838589773518283
Cr_5,-0.039181332238272734
Cr_6,-0.04687070261074757
Fe_1,-0.017994653943371602
Fe_2,-0.0346870914005197
Fe_3,-0.03801507543875615
Fe_4,-0.03807504583073807
Fe_5,-0.03302915096202192
Fe_6,-0.021560466971483658
Cd_1,0.0009402060941348723
Cd_2,0.005168435855501569
Cd_3,0.008070654908473394
Cd_4,0.012242315257207577
Cd_5,0.012403070573552373
Cd_6,0.016417499284323126
Zn_1,0.003582914707336974
Zn_2,0.009096096121113385
Zn_3,0.02894788821975785
Zn_4,0.05388584209211813
Zn_5,0.07530370100672322
Zn_6,0.08894590980012837
Cu_1,0.0023577698844594193
Cu_2,0.003214323880711725
Cu_3,0.010077990139813687
Cu_4,0.019388449625054725
Cu_5,0.028743869967644206
Cu_6,0.04187781440239947
Pb_1,0.0018174896052270875
Pb_2,0.007009760228419082
Pb_3,0.017212525702423945
Pb_4,0.02236740693862349
Pb_5,0.028864903418937462
Pb_6,0.03815145223957137
