,locus_id,go_id,go_name
0,USA300HOU_RS00005,GO:0000166,
1,USA300HOU_RS00005,GO:0001882,
2,USA300HOU_RS00005,GO:0001883,
3,USA300HOU_RS00005,GO:0003674,
4,USA300HOU_RS00005,GO:0003676,
5,USA300HOU_RS00005,GO:0003677,
6,USA300HOU_RS00005,GO:0003688,
7,USA300HOU_RS00005,GO:0003824,
8,USA300HOU_RS00005,GO:0005488,
9,USA300HOU_RS00005,GO:0005524,
10,USA300HOU_RS00005,GO:0005575,
11,USA300HOU_RS00005,GO:0005618,
12,USA300HOU_RS00005,GO:0005622,
13,USA300HOU_RS00005,GO:0005623,
14,USA300HOU_RS00005,GO:0005737,
15,USA300HOU_RS00005,GO:0005886,
16,USA300HOU_RS00005,GO:0006139,
17,USA300HOU_RS00005,GO:0006152,
18,USA300HOU_RS00005,GO:0006163,
19,USA300HOU_RS00005,GO:0006164,
20,USA300HOU_RS00005,GO:0006172,
21,USA300HOU_RS00005,GO:0006195,
22,USA300HOU_RS00005,GO:0006200,
23,USA300HOU_RS00005,GO:0006259,
24,USA300HOU_RS00005,GO:0006260,
25,USA300HOU_RS00005,GO:0006261,
26,USA300HOU_RS00005,GO:0006270,
27,USA300HOU_RS00005,GO:0006275,
28,USA300HOU_RS00005,GO:0006461,
29,USA300HOU_RS00005,GO:0006725,
30,USA300HOU_RS00005,GO:0006753,
31,USA300HOU_RS00005,GO:0006793,
32,USA300HOU_RS00005,GO:0006796,
33,USA300HOU_RS00005,GO:0006807,
34,USA300HOU_RS00005,GO:0008150,
35,USA300HOU_RS00005,GO:0008152,
36,USA300HOU_RS00005,GO:0009056,
37,USA300HOU_RS00005,GO:0009058,
38,USA300HOU_RS00005,GO:0009059,
39,USA300HOU_RS00005,GO:0009116,
40,USA300HOU_RS00005,GO:0009117,
41,USA300HOU_RS00005,GO:0009119,
42,USA300HOU_RS00005,GO:0009123,
43,USA300HOU_RS00005,GO:0009124,
44,USA300HOU_RS00005,GO:0009125,
45,USA300HOU_RS00005,GO:0009126,
46,USA300HOU_RS00005,GO:0009127,
47,USA300HOU_RS00005,GO:0009128,
48,USA300HOU_RS00005,GO:0009132,
49,USA300HOU_RS00005,GO:0009133,
50,USA300HOU_RS00005,GO:0009135,
51,USA300HOU_RS00005,GO:0009136,
52,USA300HOU_RS00005,GO:0009141,
53,USA300HOU_RS00005,GO:0009143,
54,USA300HOU_RS00005,GO:0009144,
55,USA300HOU_RS00005,GO:0009146,
56,USA300HOU_RS00005,GO:0009150,
57,USA300HOU_RS00005,GO:0009152,
58,USA300HOU_RS00005,GO:0009154,
59,USA300HOU_RS00005,GO:0009156,
60,USA300HOU_RS00005,GO:0009158,
61,USA300HOU_RS00005,GO:0009161,
62,USA300HOU_RS00005,GO:0009163,
63,USA300HOU_RS00005,GO:0009164,
64,USA300HOU_RS00005,GO:0009165,
65,USA300HOU_RS00005,GO:0009166,
66,USA300HOU_RS00005,GO:0009167,
67,USA300HOU_RS00005,GO:0009168,
68,USA300HOU_RS00005,GO:0009169,
69,USA300HOU_RS00005,GO:0009179,
70,USA300HOU_RS00005,GO:0009180,
71,USA300HOU_RS00005,GO:0009185,
72,USA300HOU_RS00005,GO:0009188,
73,USA300HOU_RS00005,GO:0009199,
74,USA300HOU_RS00005,GO:0009203,
75,USA300HOU_RS00005,GO:0009205,
76,USA300HOU_RS00005,GO:0009207,
77,USA300HOU_RS00005,GO:0009259,
78,USA300HOU_RS00005,GO:0009260,
79,USA300HOU_RS00005,GO:0009261,
80,USA300HOU_RS00005,GO:0009889,
81,USA300HOU_RS00005,GO:0009987,
82,USA300HOU_RS00005,GO:0010556,
83,USA300HOU_RS00005,GO:0016020,
84,USA300HOU_RS00005,GO:0016043,
85,USA300HOU_RS00005,GO:0016311,
86,USA300HOU_RS00005,GO:0016462,
87,USA300HOU_RS00005,GO:0016787,
