,A,SigM
R2,,0.5826462094698243
xmin,,-3.949869131362292
xmid,,
xmax,,3.5623617842277437
ystart,,-15.598256211735663
yend,,16.17258569301461
SRX8138083,-0.3935796148254526,0.13312362438648415
SRX8138084,0.5709285771270346,-0.1486032318325563
SRX8138085,-0.1773489623015692,0.015479607446073018
SRX8138086,2.1607188426769453,0.10599305405861248
SRX8138087,-0.2258232778670037,0.10857813776374314
SRX8138088,-0.1272105620786288,0.04987618171745467
ERX4111143,0.2779578017678295,0.02974637198344077
ERX4111144,3.791242954830375,0.2234590616537675
ERX4111145,7.094648755086805,0.4531092496781852
ERX4111146,8.433864098649153,0.47083338841748995
ERX4111148,0.07558467609414593,-0.23674477635148605
ERX4111149,7.546035323054287,0.29100663899166257
ERX4111150,5.1495820702456845,0.3685795352650434
ERX4111151,-0.27795780176783674,-0.02974637198344077
ERX4111152,4.263208864000877,0.3330439353169208
ERX4111153,5.909392041248366,0.5000362258368627
ERX4111154,9.694492787734992,0.9561832992356464
ERX4111156,-0.02131806687055636,-0.2113055829260011
ERX4111157,8.550618329273389,0.504143331178355
ERX4111158,6.213571404405701,0.4647346481426302
SRX5577041,0.6241488101928734,-0.03079699682892478
SRX5577042,-0.045826098550681975,0.011513596570140729
SRX5577043,-0.6103714791500202,0.055984871582125166
SRX5577044,0.032048767507850615,-0.03670147132334023
SRX5577045,2.92401965978914,-0.1359783016627958
SRX5577046,1.906609966063962,-0.5178340143561844
SRX5577047,0.6624318914842651,-0.4598480277688735
SRX5577048,-0.6337742742979974,-0.5570410783638255
SRX5577049,-2.907802140822396,-1.3203191874434808
SRX5577050,-1.6159436991941285,-1.3152037343446148
SRX5577051,-4.372780779431315,-1.3602397240652184
SRX5577052,-4.807014398209798,-1.4098044785946913
SRX5577053,-6.959612779165039,-1.1880671773109155
SRX5577054,-4.946523016746254,-1.5962982540953607
SRX5577055,-7.263668393209739,-1.2462268521338205
SRX5577056,-5.291924644899119,-1.5194846726320188
SRX5577057,-7.026684269723322,-1.5118017085915607
SRX5577058,-4.263670551679939,-1.4251086727062363
SRX5577059,-6.614459115217304,-1.6487950256815769
SRX5577060,-4.785448548090511,-1.8137815736635008
SRX5577061,-5.607676209062577,-0.1320433874086131
SRX5577062,-1.7196929715387264,-1.1611033658068646
SRX5577063,-1.9696084154415885,-1.275104220313855
SRX5577064,-5.435267061188283,-0.9346065360510759
SRX5577065,-4.526079153715949,-2.204324294220206
SRX5577066,-6.212633630098837,-1.3548432852980603
SRX5577067,-6.652670027921612,-0.7002464591844291
SRX5577068,-5.819537511841526,-1.2663075772555228
SRX533166,-1.1038043950474437,-0.536198426957541
SRX533171,1.103804395047452,0.5361984269575419
SRX533786,-0.4272533776603595,-0.5363328512952927
SRX533787,-0.3769537924210513,0.19686140305347435
SRX533789,0.21270401737268935,-0.5581020901120688
SRX533791,0.41681064199517615,0.4844941524359427
SRX533792,-1.0170906336964418,-0.5712257989105325
SRX533793,0.034490525497803806,0.3393366861217908
SRX533794,1.6313900685080502,0.6047431571017903
SRX533795,1.8169246178140088,0.5210893129211485
SRX4703435,0.3773564415864829,0.17424245826170104
SRX4703436,0.28546468897454275,0.002985890894159127
SRX4703437,-0.6628211305610486,-0.1772283491558575
SRX4703438,-10.520656651477161,-0.6502761916757658
SRX4703439,-9.840630083690424,-0.32522665897965464
SRX4703440,-8.842606276156667,-0.2374721996813092
SRX6902408,1.4166009626958411,0.4241664952264834
SRX6902409,1.0504594154441709,0.4566956908685764
SRX6902410,0.5776864652019486,0.5965382754089443
SRX6902411,-1.7675047501501289,0.6970236617254201
SRX6902412,-1.0081957333796243,0.6150159926818803
SRX6902413,-0.4704983013393017,0.4345950189711072
SRX6902414,0.12012710805186445,0.0067177432615048716
SRX6902415,-0.12012710805186964,-0.00671774326150576
SRX5278698,-1.889237927105038,-0.3056958514952539
SRX5278699,-1.7280850644159864,-0.0661114399134144
SRX5278700,3.617322991521017,0.3718072914086683
SRX5278701,-0.4718633520666271,0.3581721607094588
SRX5278702,0.9664068190375036,0.6086794894816752
SRX5278703,5.023507440166567,1.1829139876587351
SRX5278704,16.040632072177516,0.5050983666724047
SRX5278705,16.637900768061396,0.13079774889818552
SRX5278707,14.865478025887425,2.783933200531563
SRX5278708,16.066273067161585,3.0031750896240683
SRX5278709,15.834902071854104,3.5623617842277437
SRX5278710,-4.576440320781268,0.17352782957973467
SRX5278711,-0.2853196431824317,0.6054803722206596
SRX5278713,-0.09589523417991236,0.9750362099597788
SRX5278714,3.64142907270544,1.2314762277985858
SRX5278715,0.4066003852290958,0.5822675538293218
SRX5278716,2.7908616344896604,0.508912441671157
