,A,RpoS
R2,,0.31316319688241456
xmin,,-8.919357295
xmid,,-2.7138295841834656
xmax,,4.1241387708
ystart,,-24.17396136660343
yend,,24.46324765244249
SRX1125282,-1.2345800146,0.12389400360000001
SRX1125283,1.2025406691,0.0917269352
SRX1125284,1.0676259747,0.2668871882
SRX1125285,1.8763201075,0.6346371772
SRX1125286,2.6625303650000003,0.7311205703
SRX1125287,3.6173819342,0.047843636
SRX1125288,0.9683147721,-0.011411859
SRX1125289,1.2643154333,0.1487334191
SRX1125290,0.8341936214000001,0.5719214457
SRX1125291,2.4059493943,0.7703039475
SRX1125292,4.7382350532,0.9491057834000001
SRX1125293,7.1677871492,0.7949646441
SRX1125294,0.2662652425,-0.1124821446
SRX1125295,0.6252150831000001,0.0485519624
SRX1125296,0.8862238368,0.2451175693
SRX1125297,2.0359747064000002,0.5595453177
SRX1125298,2.968463925,1.0364768899
SRX1125299,6.9600612884,0.7744984592
SRX5694250,4.1660602188,-0.6575883396000001
SRX5694251,-12.154303398,-0.41439528130000003
SRX5694252,-7.1291072584,-1.5267586985000001
SRX5694253,2.7561288704,0.013532579400000001
SRX5694254,6.3044710052,-0.4507050045
SRX5694255,-11.8604154437,-1.3699185348
SRX5694256,-4.2828579866,0.0290375594
SRX5694257,-1.8056980721,-0.18024768900000002
SRX5694258,6.4794626921,-0.34416743510000003
SRX5694259,-18.6883243583,-0.4766743304
SRX5694260,-3.2553463117,0.2482267076
SRX5694261,-3.7845094339000003,0.022944085000000003
SRX5694262,-8.2588656988,-1.1664088354
SRX5694263,-5.9309158015,0.2455560166
SRX5694264,-7.2801859872,-0.7270261651000001
SRX5694265,-7.5428800082,0.1246632279
SRX5694267,2.5708744138,0.17891339180000002
SRX5694268,-2.7936309020000003,0.8690290136000001
SRX5694269,-3.6384056639,0.1019266675
SRX5694271,-1.016423618,-0.159521414
SRX5694273,-19.0425574872,-0.7117395496000001
SRX5694274,-2.7190245342,0.2200444192
SRX5694275,-11.9776215155,-0.24488367700000002
SRX5694276,-14.4758046879,-0.6076757834000001
SRX5694277,-4.7826732484,0.4192586639
SRX5694278,-15.5742415986,0.3345453216
SRX5694279,-2.9138775731,0.9291638342
SRX5694280,5.5285035621,0.6945469896
SRX5694281,2.5276864324,0.7728686116
SRX5694282,-9.1593705574,1.381880559
SRX5694283,-4.3964607928,0.8471900986
SRX5694284,-2.9926037399,0.9445992575000001
SRX5694285,-7.9869714496,-0.101510944
SRX5694286,-10.8450207721,-0.39254390580000004
SRX5694287,5.8153601801,1.6641543512
SRX5694288,-4.4458819889,-0.6444778476
SRX5694289,0.9750415399000001,-0.28779240840000003
SRX5694290,-6.9158651369,-0.6870264622000001
SRX5694291,-10.2309008752,-1.3007259393
SRX5694292,2.6103951319,0.8062681238
SRX5694293,-2.2479334277,-0.4039469799
SRX5694294,6.172770011,-0.38068987460000003
SRX5694295,-2.1951786694,1.1971556762
SRX5694296,2.1733437424,-0.0579672664
SRX5694297,-1.252300869,-1.1718080658
SRX5694298,-0.1990549812,-0.0579887361
SRX5694299,4.8772917625000005,-0.0090804595
SRX5694300,-2.5962776084,-0.2858089984
SRX5694301,2.6129920973000003,0.7487499111
SRX5694302,-8.6788274571,-0.2880430808
SRX5694303,-6.8156932348,-0.4022624342
SRX5694304,-4.5678500499,-0.102787711
SRX5694305,-11.7361385133,-0.5464442224
SRX5694306,-0.6643088076,-0.7664779575
SRX5694307,-8.1116956457,0.9269590489
SRX5694308,-0.6420380479000001,0.0122038535
SRX5694309,-17.9293226087,-0.9940082433
SRX5694310,-3.4758421196000002,2.0411292587
SRX5694311,-17.8587616851,-0.3039589573
SRX5694312,-9.9476812345,-1.2338569192
SRX5694313,0.6846911941,1.5108161085
SRX5694315,-4.3009065154,0.0882130678
SRX5694317,-0.6606483395,1.863543381
SRX5694319,-5.5257868909,-0.7670528724
SRX5694320,-11.8793728232,-1.3988456439
SRX5694321,-3.5356765879000003,0.1389480637
SRX5694322,-14.657412572,0.6382039402
SRX5694323,-2.9263008497,0.6371311275
SRX5694324,-10.2302517018,0.5891552134
SRX5694325,0.37512622500000004,1.1364192666
SRX5694326,-3.6392621716,-0.1227754323
SRX5694327,-1.9667351144,1.842083342
SRX5694328,-4.4218695285,-0.3056609431
SRX5694329,3.5406104475999998,-0.36055310500000004
SRX5694330,-6.7904865891,-0.7452061929
SRX5694331,-0.3238798063,-0.19376253370000002
SRX5694332,-6.6781369794,-0.1069060403
SRX5694334,-5.6623548489,0.1476735541
SRX5694335,0.14826401050000002,0.2184687528
SRX5694336,-15.4955764168,-0.3321838082
SRX5694337,3.99903894,1.1410073011
SRX5694338,-4.3172141225,0.5042714405000001
SRX5694339,-5.2061453719,-0.7028224034
SRX5694340,-3.0781933904,-0.3897788184
SRX5694341,-18.1329916812,0.6749000182
SRX5694342,-3.5151128165000003,-1.0340379245
SRX5694343,-1.206048835,-0.5313228746
SRX5694344,8.3955282236,-0.3395083618
SRX5694345,-1.5759876396,-0.0744392624
SRX5694346,-5.6262652805,-0.17103448070000002
SRX5694347,2.8518148032,-0.3425261498
SRX5694348,-7.1429732191,0.7875061899
SRX5694349,-4.2847991803,0.12003723670000001
SRX5694350,5.4528742641,-0.7659405174
SRX5694351,-3.3687872268,0.7263733076000001
SRX5694352,-8.4901426244,-0.6013224671
SRX5694353,-4.8070303148,-0.8785134040000001
SRX5694354,-2.1183234363,0.7901452873
SRX5694356,-5.8882610934,-1.0691180943
SRX5694357,-3.6100738078,-1.224876475
SRX5694358,-12.8445974642,-0.8674783247000001
SRX5694359,-10.7022316644,-0.5275191918000001
SRX5694360,-10.3392099354,-0.5277439766
SRX5694361,-12.521451938,0.5715646187
SRX5694362,-1.9184664939,-0.4801473545
SRX5694363,-2.7023740835,-0.2058316979
SRX5694364,-16.6757364237,-0.4031858943
SRX5694365,3.9522144974,0.5258567861
SRX5694366,-7.6890863372,-1.0791491496
SRX5694367,-0.0423991384,1.1625349641
SRX5694368,-10.7107272901,-0.3946522053
SRX5694369,-2.3982527595,0.0892968809
SRX5694370,-10.7213009812,0.3895898545
SRX5694371,-16.9767432481,-0.9798657269000001
SRX5694372,-9.3330130068,-0.3558929129
SRX5694373,2.9046225169,-0.3203433341
SRX5694374,-18.038076586,-1.8907045999
SRX5694375,1.6623164725000001,0.5235856839
SRX5694376,-1.5024444169,-0.6960164566
SRX5694377,-13.3807060961,-1.5270626442
SRX5694378,-11.3979124925,-0.4634139386
SRX5694379,-3.025920968,-0.5227460333
SRX5694380,-7.7860298369,-0.6079369570000001
SRX5694381,-4.7188994136,-0.5831907388
SRX5694382,-5.1591332753,-0.5897015176
SRX5694383,0.7290948864,0.33302975900000004
SRX5694384,-1.1276627458,-0.17128217310000002
SRX5694385,-5.2902669311,0.6983107852
SRX5694386,-21.908675637400002,-0.047770770600000005
SRX5694387,-6.9547752315,-0.7783978846
SRX5694388,-10.7092473706,0.5795485447000001
SRX5694389,0.08654454980000001,-0.4604892508
SRX5694390,1.207939459,0.5469985911
SRX5694391,5.0276574282,1.9391797668000001
SRX5694392,2.3185480346,-0.18206983540000002
SRX5694393,-0.5999397488,-0.2625622673
SRX5694394,-3.064491591,0.6362886964000001
SRX5694395,-2.245280657,-0.24292153970000002
SRX5694396,-1.7305065579,0.6048608691
SRX5694397,-7.0590654509,0.7306458363
SRX5694398,-5.8818121104,0.47634399800000005
SRX5694399,6.2032360964,-0.3464694589
SRX5694400,-9.677554092,-0.2505482308
SRX5694401,0.1852708636,0.6124656474
SRX5694402,-21.765796528,-0.0719270178
SRX5694403,-1.5421353781,0.6540059885
SRX5694404,-5.8613155196,0.4711092564
SRX5694405,1.9847002836,-0.5450956153000001
SRX5694406,-13.2541852935,0.2452439907
SRX5694407,-2.6756268496,-0.1035126536
SRX5694408,-0.2864389851,-0.009095269900000001
SRX5694409,-19.9692960684,1.087692968
SRX5694410,-1.4117486437,-0.3560818886
SRX5694411,1.0044803529,1.7535099344
SRX5694412,-6.216598801,0.5170498195000001
SRX5694413,-6.2726546549,-1.0193472069
SRX5694414,-5.1494564676,-0.523282682
SRX5694415,5.3173502503,0.43947406520000004
SRX5694416,-0.030375791200000002,0.0446724711
SRX5694417,-6.5912869319,-0.2893820741
SRX5694418,-16.7291016671,-0.2117878394
SRX5694419,-15.1528182073,-0.3179564891
SRX5694420,0.0910054532,0.08899595980000001
SRX5694421,-3.8332743623,0.028312995400000002
SRX5694422,7.3748529835,1.3392921219
SRX5694423,-9.6239148978,-0.9200105722
SRX5694424,-1.4026733787,1.5403945842
SRX5694425,-2.7694235376,0.5704792652
SRX5694426,-4.1366572304,0.1799193872
SRX5694427,0.0220721437,0.4667043355
SRX5694428,1.0872080332,0.20339786340000002
SRX5694429,-1.3870302149,1.7636918297
SRX5694430,1.6509065676999999,0.3315411609
SRX5694431,-2.181703473,-0.35813353740000003
SRX5694432,-11.9939057613,-0.36327625890000004
SRX5694433,-6.2061284114,-0.9242360812
SRX5694434,-2.3044617383,1.1244853324
SRX5694435,-16.4444476002,0.2482560155
SRX5694436,-19.9154178412,0.6052921899
SRX5694437,-0.9356664360000001,1.6927350389
SRX5694438,6.0377920899,0.4568848408
SRX5694439,-14.9894193212,-0.9789359647
SRX5694440,-0.7123720883,-0.16993395320000002
SRX5694441,3.3204394798,-0.30292878300000003
SRX5694442,-10.6482492831,0.5264198142000001
SRX5694443,-4.3835300798,0.2397725474
SRX5694444,0.9293716350000001,0.5519567652
SRX5694445,-10.3981857038,-0.2960727922
SRX5694446,-4.7990024734,-0.9535799394000001
SRX5694447,-2.2619935305,0.1879820745
SRX5694448,-6.3814951566,-0.33462678430000004
SRX5694449,-0.061791914600000004,0.4853458886
SRX5694450,-9.6699571197,-1.5466922668
SRX5694451,-0.2796308576,0.3364849925
SRX5694452,-2.0775115889,0.5538937326
SRX5694453,-4.955266311,-0.9333736147
SRX5694454,-0.6834596157,-0.43851679990000003
SRX5694455,-14.9358488322,-0.6122638961
SRX5694456,-4.5120944185,0.0192414513
SRX5694457,-4.1189068035,-0.4865215724
SRX5694459,-7.0162395682,-0.7272492188
SRX5694460,-16.2823974184,-0.1476290305
SRX5694461,-11.0270567259,-0.46360405250000003
SRX5694462,-15.2539165728,0.4989539183
SRX5694463,-2.2990780201,0.3705406573
SRX5694464,-8.5269743427,-0.1438542033
SRX5694465,-6.7243633646,-0.5194117031000001
SRX5694466,4.0368147774,2.0305828611
SRX5694467,-4.1094411966,-0.4654391383
SRX5694468,-10.94423844,-1.4261023225
SRX5694469,7.7879039849,0.3766098639
SRX5694470,1.1775852586,-0.1364564022
SRX5694471,-7.4331663466,0.1286029695
SRX5694472,-6.6949549601000005,-0.0696890087
SRX5694474,-1.8486914415,0.9030849996
SRX5694475,-5.1189694652,0.38838182590000003
SRX5694476,-4.8142240798,-0.0550770701
SRX5694477,-15.5454676692,-0.6307641964
SRX5694478,1.342491797,-0.2597921773
SRX5694479,0.37655631970000003,-0.1763272148
SRX5694480,0.5339183173000001,-0.1529290586
SRX5694481,-2.4455939742,0.2706568916
SRX5694482,-3.9407438138,-0.8203963424
SRX5694483,-0.8220081834,0.1585795959
SRX5694484,-8.9556497037,-0.1142251222
SRX5694485,0.2237460233,1.8143817081
SRX5694486,-2.2071281431,-0.4731728442
SRX5694487,-6.2950568393,0.0620097399
SRX5694488,-7.4986905851,0.3949410132
SRX5694489,-8.8731959822,0.3263541776
SRX5694491,-17.7774507337,-0.7083059624
SRX5694492,-13.2443616661,-0.851641096
SRX5694493,0.8906610149,1.4811790611
SRX5694494,-0.38629318630000004,1.1931153627
SRX5694495,-2.0705294796000002,0.223645429
SRX5694496,-1.5728936338000001,-0.5212448198
SRX5694497,-2.9179088697,1.0658264478
SRX5694498,-2.3679836985,0.2623274617
SRX5694499,-12.1201733,-0.8602627439
SRX5694500,5.5136055474,0.6492284850000001
SRX5694501,-7.6916888379,-0.0872275571
SRX5694502,-13.4123348037,-1.6278754941
SRX5694503,-4.2173589058,0.5569903872
SRX5694504,-2.1134727517,-0.5821665425
SRX5694505,-18.9404184791,-0.5569867189000001
SRX5694506,-4.3981685595,-0.8658739125
SRX5694507,-1.11529977,-0.5061400461000001
SRX5694508,-0.3947337587,-0.007558000600000001
SRX5694509,-1.7330853199,1.1837010027
SRX5694510,8.1732284436,0.3684639705
SRX5694511,0.8468414375000001,0.7162084194
SRX5694512,-17.393383988,-0.7495037573000001
SRX5694513,1.3953773967,-0.2520943269
SRX5694514,-16.9275984058,-0.1303226102
SRX5694515,-9.1452152735,1.2895415137000001
SRX5694516,-14.301717890900001,-1.0265109875
SRX5694517,-9.0853436971,-0.0724954515
SRX5694518,-6.1558544646,0.0047803766000000004
SRX5694519,-3.7557617679,-0.26600968140000003
SRX5694520,-0.7161211719,-0.7475409037
SRX5694521,-4.9538626885,-0.21861527020000002
SRX5694522,-5.9560380395,0.5629342945
SRX5694523,-4.3953787773,0.21570166240000002
SRX5694524,-9.3993220253,0.062023590600000005
SRX5694525,-7.4653595337,-0.42882891900000003
SRX5694526,-8.9041561657,-0.7689727486
SRX5694527,2.0304412287,0.7309834126
SRX5694528,0.7892572115,-0.1501726563
SRX5694529,-3.6840588839,0.5169160205000001
SRX5694530,-0.4870439608,-0.6836513344
SRX5694532,-1.0746981867,0.6793260160000001
SRX5694533,3.3109812102,0.7371031941
SRX5694534,-2.6725621907,1.9744757876999999
SRX5694535,-0.5179740348,-0.7213432398
SRX5694536,-5.0931791092,0.6477702467
SRX5694537,-7.8635407982,0.020042852400000002
SRX5694538,-6.0570498882,0.48593594510000004
SRX5694539,0.0223266368,-0.39806902200000005
SRX5694540,-1.7444485628000002,0.4775086602
SRX5694541,-9.0536291441,-0.2237540542
SRX5694543,-14.9501512053,-1.2433446982
SRX5694544,-8.5544598371,-0.09469580500000001
SRX5694545,1.1866323289,0.3882651955
SRX5694546,-7.0618107645,-1.0093608602
SRX5694547,0.6480928225,0.4493025752
SRX5694548,-1.1472094673,0.091783931
SRX5694550,-2.1681671158,0.062013330500000005
SRX5694551,-15.5095836963,-0.9358932155
SRX5694552,2.4173933636,-0.4164593802
SRX5694553,-1.0913342076,-0.0044865156
SRX5694554,-3.2051432172,-0.0383475161
SRX5694555,-8.2104240606,-0.7369655924
SRX6072760,-19.6942732503,0.41317827430000004
SRX6072761,-14.8765664693,0.604767283
SRX6072762,-17.1114285632,0.7448858374
SRX6072763,-11.346663597,1.4155093927
SRX6072764,-18.6413647051,-0.2457375582
SRX6072765,-13.1469848583,1.3219007904
SRX6376491,1.4896154311,-0.6830534858
SRX6376492,-16.2397842972,-0.6785606825
SRX6376493,-18.147070728,-0.4696651093
SRX6376494,-14.7756548272,-0.46349901590000003
SRX6376495,0.105407524,-0.3385525806
SRX6376496,2.0724460501,-0.6918979069
SRX2723951,16.4509118989,1.3115418012
SRX2723952,23.8993884494,2.719049273
SRX2723953,16.30345767,1.9266550545
SRX2723954,32.8050283665,2.7159852568
SRX2723955,14.2040670387,0.8854595021
SRX2723956,12.0721027023,1.3716701738000001
SRX2723957,0.7527542113,-0.0180868505
SRX2723958,7.0145086301,0.8312034412
SRX2723959,1.7648386109,-0.0430751967
SRX2723960,14.2426259447,1.8905631967
SRX2723961,33.5806195698,3.0586390134
SRX2723962,13.0507684966,1.1510770369
SRX2723963,1.9614833594,0.09465619600000001
SRX2723964,21.5153674587,1.3046074190999999
SRX2723965,13.5598910423,0.7440262712
SRX2723966,-1.2189339518,0.5336637103
SRX2723967,1.200360031,-0.3890912637
SRX2723968,0.0185739208,-0.14457244660000002
SRX6977206,-2.9403247148,-1.4457715828
SRX6977207,-2.8411163741000003,-1.5601079896
SRX6977208,12.1365684403,0.810740581
SRX6977209,11.9218582192,0.8647603072000001
SRX6977210,12.0377357326,0.9669022083000001
SRX6977211,2.1990862605,-0.4381731909
SRX6977212,0.071380569,0.130608776
SRX6977213,-2.2704668296,0.3075644149
SRX6977214,-2.628660364,-1.4681930284
SRX1153733,-0.5413796554,-0.1546157778
SRX1153734,0.5413796554,0.1546157778
SRX1153735,-9.1399271012,-0.6446691254
SRX1153736,-7.4369705957,-0.4501057755
SRX5204053,-0.3301320559,0.1059205538
SRX5204054,13.2747373534,1.3829855504
SRX5204055,2.0274604134,0.4041661848
SRX5204056,-2.4874086432,0.30663911790000004
SRX5204057,-2.7397792601,0.31144163620000004
SRX5204058,-3.5263958148,0.3127912652
SRX5204059,7.4475166254000005,0.1760007295
SRX5204060,7.5232751343,0.454210979
SRX5204061,6.8128064825,0.6235460537
SRX5204062,4.8526165905,0.1208037019
SRX5204063,4.8460636304,0.4877615953
SRX5204064,2.9669725923,0.5163905927
SRX5204065,-3.4416900315,0.6884772919000001
SRX5204066,-4.5798120220000005,0.7122389416
SRX5204067,-3.3595989659,0.6396841639
SRX5204068,4.959184554,-0.1261035513
SRX5204069,5.2288541055,0.38388275310000003
SRX5204070,8.7383511308,0.2827863503
SRX5204071,8.0763317205,0.7819781372
SRX5204072,4.3070857568,0.6750482209
SRX5204073,5.6008929631,0.8001322815
SRX5204074,9.1871407272,0.787458333
SRX5204075,2.4995014979,0.2597792446
SRX5204076,8.7639338762,0.8436964682
SRX5204077,0.7042567083,0.5144514775
SRX5204078,2.3618206195,0.6103281862000001
SRX5204079,0.5325555470000001,0.5001794788
SRX5204080,9.0096420686,1.2035249776999999
SRX5204081,9.6412410581,1.2661395327
SRX5204082,8.9414713513,1.16465461
SRX5204083,-0.6984328007,0.3070321777
SRX5204084,1.014393136,0.3451877582
SRX5204085,0.1599314583,0.3989484895
SRX5204086,-8.4669163436,-0.3712610376
SRX5204087,-3.0626049802,0.0945027819
SRX5204088,-6.8022425023,-0.3559708344
SRX5204089,6.2760864689,0.1728373939
SRX5204090,6.2468312404,0.3912909238
SRX5204091,5.3444131574,0.2723628656
SRX5204092,5.229549918,0.0722377781
SRX5204093,2.2675551931,0.1366100778
SRX5204094,4.9226297612,0.46169277950000004
SRX5204095,1.1165755457,0.17100117450000002
SRX5204096,-1.0769618487,-0.3040600283
SRX5204097,-0.039613697,0.13305885380000002
SRX683459,-0.1999054659,-0.1036135371
SRX683460,7.0209002028,1.8095372007
SRX683461,-4.3494911334,-0.3329100937
SRX683462,4.6327121515,1.576321233
SRX683463,4.5493965993,0.4365236308
SRX683464,7.5928884815,1.7365836246000002
SRX683465,4.651446293,-0.7739175568000001
SRX683466,15.2885992516,0.5272466452
SRX683467,5.4355989144,-0.7396419659
SRX683468,14.8554129444,0.5665940065
SRX683469,8.4426537958,-0.27680535
SRX683470,15.4667413835,0.6392348118
SRX322077,3.7977346794,0.1685960022
SRX322078,2.4088043116,-0.1299500352
SRX322079,2.0131175912,-0.1740936811
SRX322080,-1.0198015017,0.016899559
SRX322081,-1.0106646495,-0.023671544500000002
SRX322082,-3.8804661614000002,0.050678763
SRX322083,-1.6086025789,-0.1300246802
SRX322084,2.4953493872,0.1115131822
SRX322085,-0.8867468083000001,0.018511498
SRX2708592,-17.308706047,-0.7990890634000001
SRX2708593,-16.491022145,-0.5456499056
SRX2708594,-13.9489486889,0.1931737134
SRX2708595,1.0741970092,-0.062391286000000004
SRX2708596,-1.1025281877,0.09866804700000001
SRX2708597,0.0283311786,-0.036276761000000005
SRX2708598,2.0933645007,-1.1324579805
SRX2708600,1.5329089404,-0.5716598474
SRX2708601,-0.3601813881,-0.5384028595
SRX2708602,1.1545487503,-0.0165785062
SRX2708603,-0.2085281287,-0.0691198381
SRX3073814,-0.9948648808,0.3844655105
SRX3073815,10.8506260182,-0.8757333977
SRX3073816,19.0713356199,-0.5311502529000001
SRX3073817,23.5931190752,-0.5721218595
SRX3073818,22.8712577837,-1.2941337247
SRX3073819,13.3168602479,-0.06365320990000001
SRX3073820,24.1139975465,0.1795351437
SRX3073821,29.1164660896,1.0981206411
SRX3073822,30.1923120171,0.3371587079
SRX3073823,30.0230618258,0.1848873779
SRX3073824,0.9948648808,-0.3844655105
SRX3073825,13.2656197171,0.3142790124
SRX3073826,21.9961765274,0.44154563750000003
SRX3073827,27.4497385012,0.2787898697
SRX3073828,25.349969689,-0.8792811828
SRX3073829,11.3759692477,-0.24691737160000002
SRX3073830,22.0822051491,0.7670260286
SRX3073831,27.2200259186,0.2563131363
SRX3073832,30.0746423627,0.59706098
SRX3073833,26.6829184422,0.3531091729
SRX2391456,0.44086206050000004,0.213414118
SRX2391457,-1.6879583902,-0.22549421890000002
SRX2391458,-3.3707249665,-0.058439903700000004
SRX2391459,-3.965474955,-0.16247405180000002
SRX2391460,-4.2408719526,-0.1317305358
SRX2391461,-3.5167976921,-0.028977580200000002
SRX2391462,-2.7648966597999998,-0.0269183526
SRX2391463,-3.0725265045,0.0030864833
SRX2391464,-2.7454013458,-0.1260736549
SRX2391465,-0.8357731921,-0.0071009044
SRX2391466,-0.8327860055,-0.07065822220000001
SRX2391467,0.0521626872,-0.0439860596
SRX2391468,-0.1733243914,0.0331372216
SRX2391469,-0.23494105810000002,-0.0420898373
SRX2391470,4.0711272716,0.6090305182
SRX2391471,1.5957009927999999,0.16230046850000002
SRX2391472,-0.5112105974,0.2343889959
SRX2391473,-2.001917411,0.0016003146
SRX2391474,-3.353426562,-0.10262556490000001
SRX2391475,-1.4952616861,0.263338674
SRX2391476,-1.6552581122,0.3080094476
SRX2391477,-3.8319785436,-0.053261284000000006
SRX2391478,-2.9833112049,-0.0478062818
SRX2391479,-1.5014491730000001,0.24986148560000002
SRX2391480,0.9286403842000001,0.2597858686
SRX2391481,1.1081048467,0.1956587998
SRX2391482,2.1872229665,0.3444429299
SRX2391483,-0.4658475962,-0.0919173263
SRX2391484,-1.9420209291,-0.1559284193
SRX2391485,-3.0733010624,-0.3117323329
SRX2391486,-5.1543781204,-0.3549788984
SRX2391487,-5.9584252449,-0.2191486229
SRX2391488,-5.8625342568,-0.2554337699
SRX2391489,-4.9501466095,-0.15975841840000002
SRX2391490,-3.8153382597,-0.15243856690000002
SRX2391491,-2.630508466,-0.14854090690000002
SRX2391492,-1.6768706418,0.0533523106
SRX2391493,-1.412998144,-0.0942249879
SRX2391494,-1.4251673577,-0.06799396270000001
SRX2391495,-0.0521626872,0.0439860596
SRX2391496,-1.2627061788,-0.0276449604
SRX2391497,-1.1171494886,-0.1012084702
SRX2391498,0.2336639705,0.30589295710000003
SRX2391499,0.3118293614,0.0795924583
SRX2391500,-2.1824350232,0.0206000678
SRX2391501,-3.6185412298,-0.3247070877
SRX2391502,-4.9484037421,-0.39807763690000003
SRX2391503,-3.5941442964,0.045134451900000004
SRX2391505,-2.4396450031,0.1301877645
SRX2391506,-3.705380362,-0.13219797960000002
SRX2391507,-4.7435580431,-0.2535108333
SRX2391508,-1.5904344522,0.48425317040000004
SRX2391510,1.0365211439,0.2794221789
SRX2391512,1.9265147234,0.3854533687
SRX2391513,0.76340794,0.1738750254
SRX2391514,-0.8114680516,0.019325781900000002
SRX5632598,7.2130498319,0.9622415594
SRX5632599,6.0348847135,0.7550729143
SRX5632600,23.4632744193,1.8153011222000002
SRX5632601,23.7894446149,1.6305390598
SRX5632602,30.5198727993,2.66022843
SRX5632603,24.8595343163,2.0770640183
SRX5632604,28.6066763578,2.5665020116
SRX5632605,28.9186514898,2.8456212339
SRX5632606,8.7974651132,1.1736554388
SRX5632607,1.435591857,0.2661366081
SRX5632608,-0.47840113160000003,-0.0111502136
SRX5632609,1.3018669104,0.2054542597
SRX5632610,5.7031137583,0.7391266073
SRX5632611,-0.8234657788,-0.19430404610000002
SRX5632612,3.1102244697,0.7199340907
SRX5632613,5.5268337391,1.2277820302
SRX5632614,0.4346059083,0.0215407991
SRX5632615,1.5004713867000001,-0.0150692206
ERX2874132,-6.1675576966,0.0663741888
ERX2874133,-8.9611716993,0.4506381236
ERX2874134,-19.1865611656,0.28768228490000003
ERX2874135,-18.0717635767,0.1535386401
ERX2874136,-26.0426597769,0.15565523180000002
ERX2874137,-26.8778189916,0.131350726
ERX2874138,-9.549808626,0.7917607625
ERX2874139,-8.3760617589,0.6527340802
ERX2874140,-0.265231916,-0.0220604303
ERX2874141,0.265231916,0.0220604303
ERX2874142,-9.899860706,1.0835072224
ERX2874143,-13.8547392574,0.9596565713
ERX2874144,-10.2742829597,0.5855899905
ERX2874145,-11.9070847846,0.5974975256
ERX2874146,-0.9869500708000001,0.3973549986
ERX2874147,-1.5468894364999999,0.3463440169
SRX1300292,1.3809236598,0.0319115236
SRX1300293,-1.3809236598,-0.0319115236
SRX1300299,0.9621074921,0.1755425277
SRX1300300,-0.7571476785,0.024489941100000003
SRX1300304,-11.3046902385,-0.2854373702
SRX1300305,0.1628283354,0.3764522019
SRX1300306,-2.6779016568,0.2949215998
SRX1300310,-11.437430555,-0.0268914219
SRX1300311,-9.8016238314,0.056630553900000005
SRX7291195,13.6540735853,0.8425441532
SRX7291196,13.983595170000001,0.6879051231000001
SRX7291197,14.655801027,0.6686345142
SRX7291198,0.5495337262000001,-0.5242501190000001
