,barA
Cr_1,-0.0017739580005533054
Cr_2,0.00018937883627132696
Cr_3,0.001668909825338441
Cr_4,0.0011434442648599922
Cr_5,0.001459177383983942
Cr_6,0.002059425493381506
Fe_1,-0.052096043736405036
Fe_2,0.04510887386987982
Fe_3,0.1795774072579016
Fe_4,0.2492085751848229
Fe_5,0.2305733693094657
Fe_6,0.15765107001843984
Cd_1,0.0018560149204655575
Cd_2,0.0031141038315094754
Cd_3,0.0059916398026141965
Cd_4,0.007551819319427481
Cd_5,0.005945267823894647
Cd_6,0.008577192122272016
Zn_1,-0.007225841420029533
Zn_2,0.002037523641629596
Zn_3,-0.008804222555896841
Zn_4,0.015457590092287485
Zn_5,0.047911171392946365
Zn_6,0.068996043384183
Cu_1,0.0016200638100063224
Cu_2,0.008484575662092531
Cu_3,0.017548287499656673
Cu_4,0.0223396376224635
Cu_5,0.020368701635641504
Cu_6,0.02430328976650991
Pb_1,0.00031104716014066023
Pb_2,0.0013751350331910569
Pb_3,0.007145311414369027
Pb_4,-0.0042320991071236784
Pb_5,0.010042516089491586
Pb_6,0.029671208873137005
