,yrbL
Cr_1,0.0013821750109579193
Cr_2,0.0020993539301451826
Cr_3,-0.0010359598276836425
Cr_4,-0.006736918177593358
Cr_5,-0.015275294530824404
Cr_6,-0.02339067339442119
Fe_1,-0.0005327797267888718
Fe_2,-0.009815812212892612
Fe_3,-0.025085994645404563
Fe_4,-0.04316420288366857
Fe_5,-0.05289817709436472
Fe_6,-0.05876005838700937
Cd_1,0.00397785676903877
Cd_2,0.008820455716460583
Cd_3,0.013369252331718023
Cd_4,0.01774354924683803
Cd_5,0.016880628473574102
Cd_6,0.019124339297742977
Zn_1,-0.005287041966088786
Zn_2,-0.013574608301861607
Zn_3,-0.022627883168489158
Zn_4,-0.03387072849356081
Zn_5,-0.04842858874690139
Zn_6,-0.06490129739983777
Cu_1,0.005000017642289278
Cu_2,0.0076737621652416075
Cu_3,0.009062733116610851
Cu_4,0.013057949750652073
Cu_5,0.020554126933113804
Cu_6,0.029740064221021982
Pb_1,0.0011217178937638582
Pb_2,0.0032260737081247354
Pb_3,0.005856560367064224
Pb_4,0.010770352611760587
Pb_5,0.013728229778782177
Pb_6,0.016376975734589447
