,A,NsrR
R2,,0.11634265835344393
xmin,,-3.3695472206
xmid,,-0.5397097369506444
xmax,,5.797296702
ystart,,0.013380966311161424
yend,,4.844926784026208
aat__00m_00s__1,0.1323873971,-0.2207476343
aat__00m_30s__1,0.1299221256,-0.5463815679
aat__01m_00s__1,-0.6614095040000001,-0.2351401063
aat__02m_00s__1,-0.5135230445,-0.5788017455000001
aat__05m_00s__1,-0.5836729499000001,-0.9354173704000001
aat__10m_00s__1,-0.2315188336,-0.8477942645000001
aat__00m_00s__2,-0.5788689154000001,0.11996087350000001
aat__00m_30s__2,0.0134307068,-0.5137669567
aat__01m_00s__2,-0.6272935036,-0.2228296512
aat__02m_00s__2,-0.3366950246,-0.3971529525
aat__05m_00s__2,-0.1970619357,-0.4851082459
aat__10m_00s__2,0.1861852088,-0.5183309043000001
aat__00m_00s__3,0.4464815183,0.1007867608
aat__00m_30s__3,0.1619551051,-0.2326454443
aat__01m_00s__3,-0.0955639984,-0.288216446
aat__02m_00s__3,-0.4259164898,-0.3433618417
aat__05m_00s__3,-0.2914376137,-0.8496726533000001
aat__10m_00s__3,-0.10869779680000001,-0.2456434827
abx_mega__dmso-2__1,0.759702269,-1.2571186993999999
abx_mega__ery_dmso__1,-1.2496426983,0.9077618066
abx_mega__nal_naoh__1,-0.8120802269,-0.948976938
abx_mega__dmso-5__1,0.47293293480000004,-0.0532087793
abx_mega__rif_dmso__1,2.0555706333,-0.8151296348
abx_mega__novo_h2o__1,1.8865940866000002,-0.6689488431
abx_mega__rach_dmso__1,-0.8553080028000001,0.3183604848
abx_mega__metro_dmso__1,5.1386596691,0.0799654781
abx_mega__dmso-6__1,0.1403335811,0.059539330800000005
abx_mega__chl_h2o__1,-0.8505834695000001,1.4410314397000001
abx_mega__cst_h2o__1,1.718259272,0.3169623364
abx_mega__tec_h2o__1,-0.9382186345,-1.6052379932
abx_mega__str_h2o__1,0.9092021614,-0.1461348632
abx_mega__ctx_h2o__1,1.2460295881,0.7432808225
abx_mega__nal_naoh__2,-0.1799465056,-0.2166065815
abx_mega__phos_h2o__1,0.1730901977,-0.1369015042
abx_mega__dmso-5__2,1.0617041149,-0.7326129115000001
abx_mega__polmyx_h2o__1,1.1852813804,0.166517724
abx_mega__h2o-8b__1,1.4421770624,0.3759936703
abx_mega__h2o-6__1,-0.0680214262,0.0522659552
abx_mega__thio_dmso__1,-1.0303931635,-0.30502947610000003
abx_mega__phos_h2o__2,1.35223089,0.30969323190000003
abx_mega__ctx_h2o__2,1.0959807592,-1.4834810803
abx_mega__lzd_dmso__1,-0.2861796804,0.759732116
abx_mega__naoh-9__1,0.42032978790000003,0.7035451895
abx_mega__dox_dmso__1,-1.5780490203,0.4149064598
abx_mega__phos_ethanol__1,1.0145164557,0.47671043430000004
abx_mega__teix_dmso__1,0.2240432169,-1.6526408947
abx_mega__dmso-10__1,0.7814354185,0.25232027760000003
abx_mega__van_dmso__1,2.4543344856,0.44411644110000004
abx_mega__ramo_h2o__1,-0.17672143510000002,-0.7487147498000001
abx_mega__tec_h2o__2,-0.8575022335,-0.0278641568
abx_mega__h2o-7__1,0.2219964404,-1.8046369100000001
abx_mega__cro_h2o__1,0.9473272452,-1.2122543403
abx_mega__tric_ethanol__1,1.6945648918,-0.9650439825
abx_mega__nor_naoh__1,0.4253334654,-0.0833587065
abx_mega__teix_dmso__2,1.0741922493,-0.9951298784
abx_mega__nal_naoh__3,-0.2177389978,-0.1863491189
