,b4575_2
control__wt_glc__1,5.214683924
control__wt_glc__2,4.8801899273
fur__wt_dpd__1,5.227786655
fur__wt_dpd__2,5.0280547917
fur__wt_fe__1,4.9113060374
fur__wt_fe__2,4.5985868354
fur__delfur_dpd__1,5.2533269371
fur__delfur_dpd__2,4.7855794654
fur__delfur_fe2__1,5.0557764598
fur__delfur_fe2__2,5.085380774
acid__wt_ph5__1,5.1051596282
acid__wt_ph5__2,4.4350269664
acid__delgadx_ph5__1,5.0407544396
acid__delgadx_ph5__2,4.6074837415
acid__delgadw_ph5__1,4.9902836529000005
acid__delgadw_ph5__2,4.9352404387
acid__delgade_ph5__1,4.7532875585
acid__delgade_ph5__2,4.8671792646
oxidative__wt_pq__1,5.1308602578
oxidative__wt_pq__2,5.1676115463
oxidative__deloxyr_pq__1,4.9327462888
oxidative__deloxyr_pq__2,4.8838355599
oxidative__delsoxr_pq__1,4.8903099748
oxidative__delsoxr_pq__2,4.8501215256
oxidative__delsoxs_pq__1,5.2744007009
oxidative__delsoxs_pq__2,5.2941075575
nac_ntrc__wt_csn__1,5.6247199658
nac_ntrc__wt_csn__2,5.6911258513
nac_ntrc__wt_cytd__1,4.9468829304
nac_ntrc__wt_cytd__2,5.2683330983
nac_ntrc__wt_gln__1,4.9759903247
nac_ntrc__wt_gln__2,5.1950604887
nac_ntrc__bw_delnac_csn__1,5.3405653771
nac_ntrc__bw_delnac_csn__2,5.4549481435
nac_ntrc__bw_delnac_cytd__1,4.3663793457
nac_ntrc__bw_delnac_cytd__2,3.8797695235000003
nac_ntrc__bw_delnac_gln__1,4.424660881
nac_ntrc__bw_delnac_gln__2,4.8069957669
nac_ntrc__bw_delnac_nh4__1,4.0448200109
nac_ntrc__bw_delnac_nh4__2,4.1014455785
misc__wt_no_te__1,4.731279247
misc__wt_no_te__2,4.3741805585
misc__bw_delcbl__1,3.748896411
misc__bw_delcbl__2,4.0859674475
misc__bw_delfabr__1,4.0110437395
misc__bw_delfabr__2,3.8283987737
misc__bw_delfadr__1,4.2987216838
misc__bw_delfadr__2,4.5140962648
misc__nitr_031__1,5.2202581782
omics__wt_glu__1,5.0769976865
omics__wt_glu__2,5.0809653473
omics__wt_gly__1,4.735214554
omics__wt_gly__2,4.4982200807
