,gmk
Cr_1,-0.003302972845875457
Cr_2,-0.012362518552828442
Cr_3,-0.0196768854493562
Cr_4,-0.017895121212739583
Cr_5,-0.01626377471467261
Cr_6,-0.013477119896967251
Fe_1,-0.0405488260932332
Fe_2,-0.05914101692115504
Fe_3,-0.03766418299509082
Fe_4,-0.005655690781800579
Fe_5,0.03086942409256508
Fe_6,0.04150478589322298
Cd_1,0.0016489251769625825
Cd_2,0.013450395869997715
Cd_3,0.016034191843478998
Cd_4,0.028807519269126586
Cd_5,0.03357190613967058
Cd_6,0.04130575614777544
Zn_1,0.002642445998313763
Zn_2,0.005415465713137382
Zn_3,0.019231386366008688
Zn_4,0.04084951615676746
Zn_5,0.06735514660495033
Zn_6,0.07281182823466421
Cu_1,0.011191857641358351
Cu_2,0.022218494115085155
Cu_3,0.03301258113226245
Cu_4,0.0394616948896321
Cu_5,0.05905345074770785
Cu_6,0.0805881807454959
Pb_1,0.0019515773747441176
Pb_2,8.038965095006123e-05
Pb_3,0.004028983772507689
Pb_4,0.011284432663611172
Pb_5,0.016889574534036746
Pb_6,0.02030716157229831
