,yhdH
Cr_1,-0.0004953328405403862
Cr_2,-0.002364651328178701
Cr_3,-0.0010293333178985828
Cr_4,0.002713474041724529
Cr_5,0.006544258012586533
Cr_6,0.0096521400975061
Fe_1,-0.0128077377581874
Fe_2,-0.038098382187913685
Fe_3,-0.0636152803791043
Fe_4,-0.07973479880565686
Fe_5,-0.09647986703334444
Fe_6,-0.10403502085453303
Cd_1,0.005971105727513936
Cd_2,0.013294538351527016
Cd_3,0.01433900471424809
Cd_4,0.01835271982369024
Cd_5,0.0169422250757212
Cd_6,0.020863007625635914
Zn_1,0.002702660809707795
Zn_2,0.0044186289155047406
Zn_3,0.01471042003205446
Zn_4,0.024881075877354702
Zn_5,0.04058664455372495
Zn_6,0.05774670536484334
Cu_1,0.003277967937263428
Cu_2,0.008735989011038591
Cu_3,0.009127144582656632
Cu_4,0.011158131898222786
Cu_5,0.011659416808912654
Cu_6,0.014674470763990819
Pb_1,0.0046980996327280825
Pb_2,0.005697131244326548
Pb_3,0.008395734392947269
Pb_4,0.010539952522948709
Pb_5,0.007971823518067548
Pb_6,0.015238434488775453
