,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A
0,LB__LBexp,1.4993706876666666,0.4953275036359502,3.0,0.0,1.2337704577,1.0,2.0708526056,2.0,1.1934889997,,,,,,,,,,
1,LB__LBtran,-1.4241431882666669,2.2598521826244236,3.0,3.0,-4.0333314389,4.0,-0.0873870997,5.0,-0.15171102620000002,,,,,,,,,,
2,LB__LBstat,-4.936303797733333,2.056237728793896,3.0,6.0,-2.7838477751,7.0,-5.1445955209,8.0,-6.8804680972,,,,,,,,,,
3,LB__LBGexp,-8.7481957645,16.34204236030854,3.0,9.0,-27.6182248054,10.0,0.748879233,11.0,0.6247582789,,,,,,,,,,
4,LB__LBGtran,-0.4997419208,0.6550886866375488,2.0,12.0,-0.9629595734,13.0,-0.0365242682,,,,,,,,,,,,
5,LB__LBGstat,-0.19496615113333338,0.7509430225140268,3.0,14.0,-0.9477915062000001,15.0,0.5540802764,16.0,-0.1911872236,,,,,,,,,,
6,Life Cycle__S0,-3.3678056956333333,0.24971937305965067,3.0,17.0,-3.4672272382,18.0,-3.0836886895,19.0,-3.5525011592,,,,,,,,,,
7,Life Cycle__S1,-4.204889723033333,1.0502991644222572,3.0,20.0,-5.1050680058,21.0,-4.4586383678,22.0,-3.0509627955,,,,,,,,,,
8,Life Cycle__S2,-4.621486604,0.9448697854267658,3.0,23.0,-5.0673271456,24.0,-3.5361867358,25.0,-5.2609459306,,,,,,,,,,
9,Life Cycle__S3,-4.8260356712500005,0.21852536428898192,2.0,26.0,-4.9805564382,27.0,-4.6715149043,,,,,,,,,,,,
10,Life Cycle__S4,-7.3322365083,0.5368642798373406,3.0,28.0,-6.9114702455,29.0,-7.9368785255,30.0,-7.1483607539,,,,,,,,,,
11,Life Cycle__S5,-8.161807969033335,0.6059345303456827,3.0,31.0,-8.6268685978,32.0,-8.381986848,33.0,-7.4765684613,,,,,,,,,,
12,Life Cycle__S6,-10.657980739475,3.0435421259214652,8.0,34.0,-9.9319984705,35.0,-15.6146598217,36.0,-7.6914280680000005,37.0,-6.7332554163000005,38.0,-13.3079061839,39.0,-13.0317980743,40.0,-9.6920841343,41.0,-9.2607157468
13,Life Cycle__S7,-10.732830449566668,0.8322821897881223,3.0,42.0,-11.258006698700001,43.0,-9.7732229035,44.0,-11.1672617465,,,,,,,,,,
14,Life Cycle__S8,-7.9379709474,0.45873551156685,2.0,45.0,-7.6135959564,46.0,-8.2623459384,,,,,,,,,,,,
15,Life Cycle__G135,-6.8419842056,0.20782704382130726,2.0,47.0,-6.6950282936,48.0,-6.9889401176,,,,,,,,,,,,
16,Life Cycle__G150,-3.6229852301666665,0.6009617525028168,3.0,49.0,-3.5529643141,50.0,-3.0601011896,51.0,-4.2558901868,,,,,,,,,,
17,Life Cycle__G180,-2.8891348559,2.4576371749261803,3.0,52.0,-1.7210071987000002,53.0,-1.2334244066,54.0,-5.7129729624,,,,,,,,,,
18,Stress Time Course__C30,-5.3476828341000004,0.772426984625262,2.0,55.0,-5.8938711929,56.0,-4.8014944753,,,,,,,,,,,,
19,Stress Time Course__C90,-0.17826747365,0.17504818896277166,2.0,57.0,-0.054489712200000005,58.0,-0.30204523510000003,,,,,,,,,,,,
20,Biofilm__BI,-2.9640764633,0.9184117367821882,2.0,59.0,-3.6134916303,60.0,-2.3146612963,,,,,,,,,,,,
21,Biofilm__BC,-7.661466851075,2.736193940656965,4.0,61.0,-8.7371483028,62.0,-6.2684354974,63.0,-4.7127080196,64.0,-10.9275755845,,,,,,,,
22,Biofilm__Sw,-7.9866366407000005,0.6801999952438736,2.0,65.0,-7.5056626115,66.0,-8.4676106699,,,,,,,,,,,,
23,Life Cycle__BT,-10.01872881885,3.3640061059214377,2.0,67.0,-7.6400172894,68.0,-12.3974403483,,,,,,,,,,,,
24,Life Cycle__B36,-10.6736078376,1.6776461290745834,2.0,69.0,-11.8598827919,70.0,-9.4873328833,,,,,,,,,,,,
25,Life Cycle__B60,-3.15633099145,0.2707221703188524,2.0,71.0,-3.3477604739,72.0,-2.964901509,,,,,,,,,,,,
26,M9__M9exp,0.0,0.9254929805310128,3.0,73.0,0.3541023693,74.0,-1.0502612917,75.0,0.6961589224,,,,,,,,,,
27,M9__M9tran,-2.760199399333334,2.3915735788714,3.0,76.0,-4.9781572051000005,77.0,-3.0760438406,78.0,-0.22639715230000002,,,,,,,,,,
28,M9__M9stat,-3.7357401843333338,0.7717487708155439,3.0,79.0,-3.7996714622,80.0,-4.4735347412,81.0,-2.9340143496,,,,,,,,,,
29,Supplement__M+G,-1.8307894695666667,1.2758040375387845,3.0,82.0,-3.3001236357,83.0,-1.0040964479,84.0,-1.1881483251,,,,,,,,,,
30,Supplement__Glu,-1.0591508044333333,1.55921340871952,3.0,85.0,-1.6874692126,86.0,-2.2061755167,87.0,0.716192316,,,,,,,,,,
31,Supplement__Fru,-1.7102699314333334,0.7110677250640025,3.0,88.0,-0.8922597795,89.0,-2.180608955,90.0,-2.0579410598,,,,,,,,,,
32,Supplement__Mal,-3.473877865966667,1.5863024602455975,3.0,91.0,-3.3641039172,92.0,-1.9453136237000002,93.0,-5.112216057,,,,,,,,,,
33,Supplement__G+S,-4.027327512499999,1.386872010694637,2.0,94.0,-3.0466609091,95.0,-5.0079941159,,,,,,,,,,,,
34,Supplement__Pyr,-4.876295036966667,1.2348096301207794,3.0,96.0,-5.5954360603,97.0,-3.450477854,98.0,-5.5829711966,,,,,,,,,,
35,Supplement__Gly,-3.918403995933333,1.2542354993853477,3.0,99.0,-2.8466195739,100.0,-3.6107529049,101.0,-5.297839509,,,,,,,,,,
36,Supplement__Glucon,-6.528858685666667,3.8388092753315215,3.0,102.0,-5.1070948878,103.0,-3.6037541394,104.0,-10.8757270298,,,,,,,,,,
37,Stressors__aero,-1.0987107759333332,2.0632825840597455,3.0,105.0,-2.030730586,106.0,-2.5315529786,107.0,1.2661512368,,,,,,,,,,
38,Stressors__nit,-4.8246278015,1.9837986609085863,3.0,108.0,-4.6630117822,109.0,-2.9265807574,110.0,-6.8842908649000005,,,,,,,,,,
39,Stressors__ferm,-7.401505139,6.18156297498519,3.0,111.0,-13.5308517137,112.0,-1.1690165573,113.0,-7.504647146,,,,,,,,,,
40,Glc Growth/Exhaust__T-5.40H,-2.5585281293,,1.0,114.0,-2.5585281293,,,,,,,,,,,,,,
41,Glc Growth/Exhaust__T-4.40H,-3.2149662431,,1.0,115.0,-3.2149662431,,,,,,,,,,,,,,
42,Glc Growth/Exhaust__T-3.40H,-0.0554431351,,1.0,116.0,-0.0554431351,,,,,,,,,,,,,,
43,Glc Growth/Exhaust__T-2.40H,-6.156496554,,1.0,117.0,-6.156496554,,,,,,,,,,,,,,
44,Glc Growth/Exhaust__T-1.40H,-3.5474280509,,1.0,118.0,-3.5474280509,,,,,,,,,,,,,,
45,Glc Growth/Exhaust__T-1.10H,-4.395240212,,1.0,119.0,-4.395240212,,,,,,,,,,,,,,
46,Glc Growth/Exhaust__T-0.40H,-0.5153648897,,1.0,120.0,-0.5153648897,,,,,,,,,,,,,,
47,Glc Growth/Exhaust__T0.0H,-3.3372242317,,1.0,121.0,-3.3372242317,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,-1.2332405803,,1.0,122.0,-1.2332405803,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,-0.3401835009,,1.0,123.0,-0.3401835009,,,,,,,,,,,,,,
50,Glc Growth/Exhaust__T1.30H,-1.7887937248,,1.0,124.0,-1.7887937248,,,,,,,,,,,,,,
51,Glc Growth/Exhaust__T2.0H,-8.2985146126,,1.0,125.0,-8.2985146126,,,,,,,,,,,,,,
52,Glc Growth/Exhaust__T2.30H,-3.7153646205,,1.0,126.0,-3.7153646205,,,,,,,,,,,,,,
53,Glc Growth/Exhaust__T3.0H,-2.4244924854,,1.0,127.0,-2.4244924854,,,,,,,,,,,,,,
54,Glc Growth/Exhaust__T3.30H,-2.6980143235,,1.0,128.0,-2.6980143235,,,,,,,,,,,,,,
55,Glc Growth/Exhaust__T4.0H,-4.215211114,,1.0,129.0,-4.215211114,,,,,,,,,,,,,,
56,Glc Growth/Exhaust__T5.0H,-4.0674177801999996,,1.0,130.0,-4.0674177801999996,,,,,,,,,,,,,,
57,Stressors__HPh,0.5451606590333333,1.1758665740228311,3.0,131.0,1.3645203497,132.0,-0.8021488962000001,133.0,1.0731105236,,,,,,,,,,
58,Stressors__LPh,-1.1640142736333334,0.6961592023046881,3.0,134.0,-0.3806416331,135.0,-1.3995496589,136.0,-1.7118515289,,,,,,,,,,
59,Stressors__LPhT,-2.0606586250333336,0.5836747875284699,3.0,137.0,-2.2503952998,138.0,-2.5258583668,139.0,-1.4057222085,,,,,,,,,,
60,Stressors__SMMPr,-3.114475944,1.0048823753415828,3.0,140.0,-3.1022553989,141.0,-2.1157595738,142.0,-4.1254128593,,,,,,,,,,
61,Stressors__HiTm,-2.6147154170999998,5.2657097284580425,3.0,143.0,-8.6541197629,144.0,1.0148189502,145.0,-0.2048454386,,,,,,,,,,
62,Stressors__LoTm,-2.596879897966667,0.3992253081129539,3.0,146.0,-2.2168201611000002,147.0,-2.5609743908000002,148.0,-3.012845142,,,,,,,,,,
63,Stressors__HiOs,-3.0693218034666665,2.623545165310559,3.0,149.0,-2.6110422327,150.0,-5.8918134953,151.0,-0.7051096824,,,,,,,,,,
64,Stressors__BMM,-1.6996699935,2.6915142836014088,3.0,152.0,0.3347547265,153.0,-0.6821621804,154.0,-4.7516025266,,,,,,,,,,
65,Stressors__Heat,-3.7253104443666665,2.6884584090978976,3.0,155.0,-1.2548956011,156.0,-3.332452605,157.0,-6.588583127,,,,,,,,,,
66,Stressors__Cold,-3.499572617033333,6.446152514881225,3.0,158.0,1.2175930172,159.0,-0.8717595885,160.0,-10.8445512798,,,,,,,,,,
67,Stressors__Etha,-5.6602985053333335,2.076189564375852,3.0,161.0,-3.5340051598,162.0,-7.6824658055,163.0,-5.7644245507,,,,,,,,,,
68,Stress Time Course__SMM,-0.6021666846333334,1.1238843683069184,3.0,164.0,-1.8168501677000002,165.0,0.400806325,166.0,-0.3904562112,,,,,,,,,,
69,Stress Time Course__Salt,-0.4308520281333333,0.6149835780558203,3.0,167.0,-0.1867350038,168.0,0.0245926719,169.0,-1.1304137525,,,,,,,,,,
70,Stress Time Course__Mt0,-0.5158723739,1.1932140964398543,2.0,170.0,0.3278574051,171.0,-1.3596021529,,,,,,,,,,,,
71,Stress Time Course__M0t45,-1.2615074015,0.8227927317675207,3.0,172.0,-1.047361666,173.0,-2.1701999312,174.0,-0.5669606073,,,,,,,,,,
72,Stress Time Course__M0t90,-5.698748862600001,0.7538515357408077,3.0,175.0,-5.8839976651,176.0,-4.8695416087000005,177.0,-6.342707314,,,,,,,,,,
73,Stress Time Course__M40t45,-2.698050888333333,2.5332243551257365,3.0,178.0,-2.2907259107,179.0,-5.41025686,180.0,-0.3931698943,,,,,,,,,,
74,Stress Time Course__M40t90,-2.9765163199666667,1.8249265825475858,3.0,181.0,-4.8428388662,182.0,-2.890696269,183.0,-1.1960138247,,,,,,,,,,
75,Stress Time Course__dia0,2.3372759035333335,0.9448120134740108,3.0,184.0,3.4153056835,185.0,1.9433767809,186.0,1.6531452462,,,,,,,,,,
76,Stress Time Course__dia5,0.9110052451,0.7222534968280903,3.0,187.0,0.335034518,188.0,0.6766464646,189.0,1.7213347527,,,,,,,,,,
77,Stress Time Course__dia15,2.739645034166667,1.8841261658254604,3.0,190.0,2.4013281064,191.0,4.7700094649,192.0,1.0475975312,,,,,,,,,,
78,Stressors__Diami,-4.186340308533333,1.5960582993981187,3.0,193.0,-2.9161949739,194.0,-5.9778948031,195.0,-3.6649311486,,,,,,,,,,
79,Stressors__Paraq,-4.0299678699,4.628935573801032,3.0,196.0,-2.7696060841,197.0,-0.16174230350000002,198.0,-9.1585552221,,,,,,,,,,
80,Stressors__H2O2,-3.8558894693999997,1.9996524094809378,3.0,199.0,-5.6855210668,200.0,-1.7212597824,201.0,-4.160887559,,,,,,,,,,
81,Stressors__Oxctl,-1.1463189763666668,2.2524158920340405,3.0,202.0,-3.4188180741,203.0,-1.105600458,204.0,1.085461603,,,,,,,,,,
82,Carbon Transition__GM-0.1,-2.2736895419666667,2.621709995133836,3.0,205.0,-5.3001891923,215.0,-0.7005381435,225.0,-0.8203412901,,,,,,,,,,
83,Carbon Transition__GM-0.2,-0.9678018485999998,1.0296324954525031,3.0,206.0,-1.974520679,216.0,-1.0121932646,226.0,0.0833083978,,,,,,,,,,
84,Carbon Transition__GM+5,-1.3089988591,0.7621569839551678,3.0,207.0,-0.5711930956,217.0,-2.0933716672,227.0,-1.2624318145,,,,,,,,,,
85,Carbon Transition__GM+15,-2.1768048878333333,2.6346759004048605,3.0,208.0,-4.7995605933,219.0,0.46963157120000004,229.0,-2.2004856414,,,,,,,,,,
86,Carbon Transition__GM+25,0.14388797923333327,3.577505270606097,3.0,209.0,2.3079187544,220.0,2.1092111131,230.0,-3.9854659298,,,,,,,,,,
87,Carbon Transition__GM+45,-3.3744392589000003,2.220118755351681,3.0,210.0,-0.8208619778,221.0,-4.4553718555,231.0,-4.8470839434,,,,,,,,,,
88,Carbon Transition__GM+60,-2.132666716933333,4.245900618332131,3.0,211.0,1.9159663019000002,222.0,-1.7623851244000002,232.0,-6.5515813283,,,,,,,,,,
89,Carbon Transition__GM+90,0.3409422381000001,0.4871867063732565,3.0,212.0,0.6000412591000001,223.0,-0.2210441578,233.0,0.6438296130000001,,,,,,,,,,
90,Carbon Transition__GM+120,-1.4514468121000001,1.565050392874176,2.0,213.0,-2.5581045578,234.0,-0.3447890664,,,,,,,,,,,,
91,Carbon Transition__GM+150,-1.4156619455,2.6870140115663412,3.0,214.0,-0.3089128523,224.0,-4.4792902904,235.0,0.5412173062,,,,,,,,,,
92,Carbon Transition__GM+10,-2.1025423648,2.5470489070657836,2.0,218.0,-0.3015068106,228.0,-3.903577919,,,,,,,,,,,,
93,Carbon Transition__MG-0.1,-2.9422917277999994,4.070613989225178,3.0,236.0,-3.8538254219,244.0,-6.4798603278,254.0,1.5068105663,,,,,,,,,,
94,Carbon Transition__MG+5,-1.3021098802666666,0.5989584211583215,3.0,237.0,-1.2401938219,246.0,-0.7365144822,256.0,-1.9296213367,,,,,,,,,,
95,Carbon Transition__MG+10,-3.2953846324000007,5.524357302232598,3.0,238.0,0.42809880720000004,247.0,-0.6715631870000001,257.0,-9.642689517400001,,,,,,,,,,
96,Carbon Transition__MG+15,0.08961848626666664,0.6470726369361653,3.0,239.0,-0.5050170011,248.0,-0.0048666227,258.0,0.7787390826,,,,,,,,,,
97,Carbon Transition__MG+25,0.4702849575333334,0.633269361005075,3.0,240.0,0.8206220524000001,249.0,-0.2607415066,259.0,0.8509743268000001,,,,,,,,,,
98,Carbon Transition__MG+45,0.22844966576666667,1.2746851196826956,3.0,241.0,1.3519133724999999,250.0,-1.1568076147,260.0,0.49024323950000004,,,,,,,,,,
99,Carbon Transition__MG+120,-5.225625198666667,6.164248532165779,3.0,242.0,-12.3315244024,253.0,-1.3154538923999999,263.0,-2.0298973012,,,,,,,,,,
100,Carbon Transition__MG+150,0.88871245265,1.7153728241930146,2.0,243.0,-0.32423930360000003,264.0,2.1016642089,,,,,,,,,,,,
101,Carbon Transition__MG-0.2,0.1692776212,2.3509479212043316,2.0,245.0,-1.4930935961,255.0,1.8316488385,,,,,,,,,,,,
102,Carbon Transition__MG+60,-3.0939066923,4.217969925695209,2.0,251.0,-0.111351555,261.0,-6.0764618296,,,,,,,,,,,,
103,Carbon Transition__MG+90,-2.6351571150999997,3.8065869195644026,2.0,252.0,-5.3268205391,262.0,0.0565063089,,,,,,,,,,,,
