locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
new_2479090_2479155,0.252804185,S904,5'UTR of zwf,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2479090_2479155
new_4215437_4215505_c,0.16550341,S1582,5'UTR of rpmH,No COG category,,SigA,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4215437_4215505_c
new_3665533_3665628,0.155600772,S1362,5'UTR of gtaB,No COG category,,"SigA,SigB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3665533_3665628
new_35104_35236,0.142692818,S20,intergenic region,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_35104_35236
new_2549607_2549677_c,0.135187837,S922,5' of BSU_misc_RNA_38,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2549607_2549677_c
new_3016299_3016403_c,0.12772334500000002,S1119,5'UTR of ackA,No COG category,,"SigA,CodY,CcpA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3016299_3016403_c
new_1640646_1640719,0.11456613700000001,S571,5'UTR of yloC,No COG category,,SigF,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1640646_1640719
new_3446078_3446175_c,0.10641317700000001,S1284,5'UTR of azoR2,No COG category,,"SigA,SigG,MhqR",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3446078_3446175_c
new_2203985_2204049_c,0.10309768400000001,S783,5'UTR of yopT,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2203985_2204049_c
new_1512193_1512258_c,0.102957819,S523,5'UTR of ykoA,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1512193_1512258_c
new_1467701_1467804,0.100742067,S507,5'UTR of pbpH,No COG category,,AbrB,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1467701_1467804
new_3681277_3681369,0.100678661,S1375,5'UTR of tagA,No COG category,,"SigA,PhoP,WalR",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3681277_3681369
new_1926587_1926679,0.099966175,S668,5'UTR of citB,No COG category,,"SigA,CodY,CcpA,CcpC",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1926587_1926679
new_1044967_1045036,0.09954494500000001,S340,5'UTR of yheJ,No COG category,,"AbrB,BmrB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1044967_1045036
new_2628535_2628605_c,0.097099157,S960,intergenic region,No COG category,,"HrcA,SigA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2628535_2628605_c
